time,co,sitename,siteid,no2,pm25
2017/10/24 00,0.3,普陀监测站,201,37.0,31.3
2017/10/24 00,0.6,杨浦四漂,209,35.0,31.3
2017/10/24 00,1.1,卢湾师专附小,185,41.0,31.0
2017/10/24 00,0.4,*青浦淀山湖,203,31.0,42.0
2017/10/24 00,1.0,虹口凉城,215,50.0,33.0
2017/10/24 00,0.6,静安监测站,183,34.0,33.5
2017/10/24 00,0.7,徐汇上师大,207,20.0,34.1
2017/10/24 00,0.5,浦东川沙,193,29.0,29.2
2017/10/24 00,0.3,浦东张江,195,26.0,32.3
2017/10/24 00,0.3,浦东监测站,228,30.0,28.5
2017/10/24 00,0.6,全市平均,0,33.6,31.5
time,co,sitename,siteid,no2,pm25
2017/10/24 01,0.4,普陀监测站,201,53.0,30.2
2017/10/24 01,0.7,杨浦四漂,209,33.0,30.3
2017/10/24 01,0.8,卢湾师专附小,185,31.0,30.4
2017/10/24 01,0.5,*青浦淀山湖,203,33.0,40.8
2017/10/24 01,0.7,虹口凉城,215,39.0,32.5
2017/10/24 01,0.6,静安监测站,183,41.0,32.5
2017/10/24 01,0.7,徐汇上师大,207,32.0,32.8
2017/10/24 01,0.5,浦东川沙,193,33.0,28.2
2017/10/24 01,0.4,浦东张江,195,35.0,31.3
2017/10/24 01,0.5,浦东监测站,228,31.0,27.6
2017/10/24 01,0.6,全市平均,0,36.4,30.6
time,co,sitename,siteid,no2,pm25
2017/10/24 02,0.4,普陀监测站,201,56.0,29.1
2017/10/24 02,0.8,杨浦四漂,209,39.0,29.5
2017/10/24 02,0.8,卢湾师专附小,185,31.0,29.4
2017/10/24 02,0.6,*青浦淀山湖,203,32.0,39.6
2017/10/24 02,0.7,虹口凉城,215,45.0,32.4
2017/10/24 02,0.6,静安监测站,183,49.0,31.2
2017/10/24 02,0.7,徐汇上师大,207,34.0,31.6
2017/10/24 02,0.5,浦东川沙,193,33.0,27.3
2017/10/24 02,0.6,浦东张江,195,45.0,30.4
2017/10/24 02,0.5,浦东监测站,228,34.0,26.7
2017/10/24 02,0.6,全市平均,0,40.7,29.7
time,co,sitename,siteid,no2,pm25
2017/10/24 03,0.4,普陀监测站,201,52.0,28.8
2017/10/24 03,0.7,杨浦四漂,209,45.0,28.5
2017/10/24 03,0.7,卢湾师专附小,185,33.0,28.5
2017/10/24 03,0.7,*青浦淀山湖,203,34.0,38.5
2017/10/24 03,0.8,虹口凉城,215,50.0,32.3
2017/10/24 03,0.6,静安监测站,183,49.0,30.5
2017/10/24 03,0.7,徐汇上师大,207,35.0,31.0
2017/10/24 03,0.5,浦东川沙,193,34.0,26.5
2017/10/24 03,0.5,浦东张江,195,50.0,29.5
2017/10/24 03,0.5,浦东监测站,228,38.0,25.6
2017/10/24 03,0.6,全市平均,0,42.9,29.0
time,co,sitename,siteid,no2,pm25
2017/10/24 04,0.4,普陀监测站,201,54.0,28.1
2017/10/24 04,0.7,杨浦四漂,209,52.0,27.8
2017/10/24 04,0.7,卢湾师专附小,185,35.0,27.9
2017/10/24 04,1.2,*青浦淀山湖,203,46.0,38.0
2017/10/24 04,0.8,虹口凉城,215,54.0,32.2
2017/10/24 04,0.6,静安监测站,183,51.0,30.1
2017/10/24 04,0.8,徐汇上师大,207,49.0,30.3
2017/10/24 04,0.6,浦东川沙,193,51.0,26.1
2017/10/24 04,0.5,浦东张江,195,57.0,28.7
2017/10/24 04,0.5,浦东监测站,228,41.0,25.0
2017/10/24 04,0.6,全市平均,0,49.3,28.4
time,co,sitename,siteid,no2,pm25
2017/10/24 05,0.4,普陀监测站,201,57.0,27.9
2017/10/24 05,0.8,杨浦四漂,209,63.0,27.4
2017/10/24 05,0.7,卢湾师专附小,185,38.0,27.6
2017/10/24 05,0.9,*青浦淀山湖,203,49.0,38.0
2017/10/24 05,0.8,虹口凉城,215,58.0,32.5
2017/10/24 05,0.6,静安监测站,183,54.0,29.8
2017/10/24 05,0.8,徐汇上师大,207,62.0,30.0
2017/10/24 05,0.5,浦东川沙,193,60.0,25.8
2017/10/24 05,0.5,浦东张江,195,67.0,28.3
2017/10/24 05,0.5,浦东监测站,228,45.0,24.6
2017/10/24 05,0.6,全市平均,0,56.0,28.2
time,co,sitename,siteid,no2,pm25
