--- 更新时间---,2017/10/21-00,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.6,43.3,普陀监测站,47.0,10.0,201,41.0,23.0,73.0,18.2
－,0.6,33.9,杨浦四漂,37.0,9.0,209,35.0,21.0,84.0,17.9
－,0.8,30.6,卢湾师专附小,33.0,6.0,185,33.0,22.0,81.0,18.6
－,0.6,31.1,*青浦淀山湖,41.0,11.0,203,24.0,38.0,91.0,24.3
－,0.6,38.6,虹口凉城,33.0,8.0,215,31.0,17.0,89.0,19.4
－,0.9,37.9,静安监测站,42.0,13.0,183,58.0,27.0,57.0,20.0
－,0.8,30.2,徐汇上师大,38.0,9.0,207,33.0,18.0,78.0,18.2
－,0.6,31.9,浦东川沙,38.0,10.0,193,51.0,25.0,67.0,17.3
－,0.4,31.1,浦东张江,32.0,20.0,195,41.0,20.0,80.0,17.1
－,0.4,30.8,浦东监测站,32.0,9.0,228,43.0,17.0,81.0,16.0
－,0.6,34.2,全市平均,36.9,10.4,0,40.7,21.1,76.7,18.0
-- 实时空气质量指数 ---
o38,sy,co,pm10,zk,sitename,o3,so2,siteid,no2,dj,aqi,pm25
－,－,7,47,优,普陀监测站,23,4,201,21,一级,47,33
－,－,7,37,优,杨浦四漂,27,3,209,18,一级,37,30
－,－,9,33,优,卢湾师专附小,26,3,185,17,一级,33,32
－,PM2.5,7,41,良,*青浦淀山湖,29,4,203,12,二级,54,54
－,－,7,33,优,虹口凉城,28,3,215,16,一级,33,25
－,－,10,42,优,静安监测站,18,5,183,29,一级,42,39
－,－,9,38,优,徐汇上师大,25,3,207,17,一级,38,26
－,－,7,38,优,浦东川沙,21,4,193,26,一级,38,36
－,－,5,32,优,浦东张江,25,7,195,21,一级,32,29
－,－,5,32,优,浦东监测站,26,3,228,22,一级,32,25
－,－,7,37,优,全市平均,25,4,0,21,一级,37,30
--- 更新时间---,2017/10/21-01,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.6,43.8,普陀监测站,47.0,10.0,201,38.0,25.0,71.0,18.5
－,0.6,34.2,杨浦四漂,34.0,9.0,209,36.0,21.0,79.0,18.1
－,0.8,30.9,卢湾师专附小,30.0,6.0,185,28.0,23.0,82.0,18.9
－,0.6,31.3,*青浦淀山湖,37.0,11.0,203,24.0,34.0,88.0,24.6
－,0.6,38.8,虹口凉城,31.0,7.0,215,27.0,19.0,90.0,19.5
－,0.9,38.7,静安监测站,49.0,14.0,183,58.0,27.0,54.0,20.3
－,0.9,30.5,徐汇上师大,36.0,10.0,207,34.0,29.0,73.0,18.7
－,0.5,31.9,浦东川沙,33.0,11.0,193,52.0,21.0,65.0,17.4
－,0.4,31.3,浦东张江,31.0,21.0,195,36.0,22.0,82.0,17.1
－,0.4,31.2,浦东监测站,30.0,9.0,228,34.0,17.0,86.0,16.0
－,0.6,34.5,全市平均,35.7,10.8,0,38.1,22.7,75.8,18.2
-- 实时空气质量指数 ---
o38,sy,co,pm10,zk,sitename,o3,so2,siteid,no2,dj,aqi,pm25
－,－,7,47,优,普陀监测站,23,4,201,19,一级,47,36
－,－,7,34,优,杨浦四漂,25,3,209,18,一级,34,30
－,－,9,30,优,卢湾师专附小,26,3,185,14,一级,33,33
－,－,7,37,优,*青浦淀山湖,28,4,203,12,一级,49,49
－,－,7,31,优,虹口凉城,29,3,215,14,一级,31,28
－,－,10,49,优,静安监测站,17,5,183,29,一级,49,39
－,－,10,36,优,徐汇上师大,23,4,207,17,一级,42,42
－,－,6,33,优,浦东川沙,21,4,193,26,一级,33,30
－,－,5,31,优,浦东张江,26,8,195,18,一级,32,32
－,－,5,30,优,浦东监测站,27,3,228,17,一级,30,25
－,－,7,36,优,全市平均,24,4,0,19,一级,36,33
--- 更新时间---,2017/10/21-02,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.5,44.0,普陀监测站,40.0,9.0,201,30.0,21.0,78.0,18.7
－,0.6,34.6,杨浦四漂,32.0,9.0,209,23.0,19.0,90.0,18.4
－,0.7,31.3,卢湾师专附小,31.0,6.0,185,25.0,26.0,81.0,19.5
－,0.6,31.5,*青浦淀山湖,34.0,11.0,203,32.0,27.0,72.0,24.4
－,0.6,38.9,虹口凉城,30.0,8.0,215,25.0,23.0,88.0,19.5
－,0.9,39.2,静安监测站,43.0,14.0,183,49.0,27.0,58.0,20.7
－,0.9,30.9,徐汇上师大,38.0,11.0,207,32.0,23.0,71.0,18.8
－,0.5,31.8,浦东川沙,30.0,13.0,193,57.0,21.0,57.0,17.2
－,0.4,31.4,浦东张江,29.0,25.0,195,33.0,21.0,82.0,17.3
－,0.6,31.5,浦东监测站,30.0,9.0,228,31.0,16.0,87.0,16.1
－,0.6,34.8,全市平均,33.7,11.6,0,33.9,21.9,76.9,18.4
-- 实时空气质量指数 ---
o38,sy,co,pm10,zk,sitename,o3,so2,siteid,no2,dj,aqi,pm25
－,－,6,40,优,普陀监测站,25,3,201,15,一级,40,30
－,－,7,32,优,杨浦四漂,29,3,209,12,一级,32,28
－,－,8,31,优,卢湾师专附小,26,3,185,13,一级,38,38
－,－,7,34,优,*青浦淀山湖,23,4,203,16,一级,39,39
－,－,7,30,优,虹口凉城,28,3,215,13,一级,33,33
－,－,10,43,优,静安监测站,19,5,183,25,一级,43,39
－,－,10,38,优,徐汇上师大,23,4,207,16,一级,38,33
－,－,6,30,优,浦东川沙,18,5,193,29,一级,30,30
－,－,5,29,优,浦东张江,26,9,195,17,一级,30,30
－,－,7,30,优,浦东监测站,28,3,228,16,一级,30,23
－,－,7,34,优,全市平均,25,5,0,17,一级,34,32
--- 更新时间---,2017/10/21-03,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.4,44.2,普陀监测站,34.0,8.0,201,29.0,20.0,80.0,18.7
－,0.6,34.8,杨浦四漂,30.0,9.0,209,22.0,18.0,88.0,18.4
－,0.7,31.7,卢湾师专附小,29.0,7.0,185,23.0,21.0,83.0,19.7
－,0.7,31.5,*青浦淀山湖,34.0,12.0,203,38.0,33.0,68.0,24.5
－,0.6,39.0,虹口凉城,34.0,8.0,215,25.0,20.0,89.0,19.6
－,0.8,39.5,静安监测站,37.0,14.0,183,42.0,24.0,62.0,20.9
－,0.8,31.3,徐汇上师大,35.0,10.0,207,28.0,30.0,74.0,19.2
－,0.5,31.9,浦东川沙,29.0,14.0,193,50.0,22.0,65.0,17.3
－,0.3,31.6,浦东张江,28.0,20.0,195,31.0,16.0,84.0,17.1
－,0.4,31.6,浦东监测站,27.0,10.0,228,23.0,14.0,94.0,16.0
－,0.6,35.0,全市平均,31.4,11.1,0,30.3,20.6,79.9,18.5
-- 实时空气质量指数 ---
o38,sy,co,pm10,zk,sitename,o3,so2,siteid,no2,dj,aqi,pm25
－,－,5,34,优,普陀监测站,25,3,201,15,一级,34,29
－,－,7,30,优,杨浦四漂,28,3,209,11,一级,30,26
－,－,8,29,优,卢湾师专附小,26,3,185,12,一级,30,30
－,－,8,34,优,*青浦淀山湖,22,5,203,19,一级,48,48
－,－,7,34,优,虹口凉城,28,3,215,13,一级,34,29
－,－,9,37,优,静安监测站,20,5,183,21,一级,37,35
－,－,9,35,优,徐汇上师大,24,4,207,14,一级,43,43
－,－,6,29,优,浦东川沙,21,5,193,25,一级,32,32
－,－,4,28,优,浦东张江,27,7,195,16,一级,28,23
－,－,5,27,优,浦东监测站,30,4,228,12,一级,30,20
－,－,7,31,优,全市平均,25,4,0,15,一级,31,30
--- 更新时间---,2017/10/21-04,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.4,44.6,普陀监测站,37.0,7.0,201,38.0,19.0,65.0,18.6
－,0.6,35.1,杨浦四漂,32.0,9.0,209,25.0,17.0,85.0,18.5
－,0.7,31.9,卢湾师专附小,25.0,7.0,185,20.0,21.0,87.0,19.9
－,0.6,31.8,*青浦淀山湖,38.0,12.0,203,34.0,35.0,75.0,24.7
－,0.6,39.1,虹口凉城,36.0,8.0,215,26.0,19.0,88.0,19.5
－,0.7,39.8,静安监测站,32.0,13.0,183,37.0,23.0,68.0,21.0
