time,co,sitename,siteid,no2,pm25
2017/10/17 09,0.5,普陀监测站,201,39.0,9.0
2017/10/17 09,0.7,杨浦四漂,209,35.0,12.1
2017/10/17 09,0.7,卢湾师专附小,185,32.0,12.0
2017/10/17 09,0.6,*青浦淀山湖,203,24.0,12.7
2017/10/17 09,0.7,虹口凉城,215,41.0,13.0
2017/10/17 09,0.7,静安监测站,183,39.0,12.7
2017/10/17 09,0.8,徐汇上师大,207,35.0,11.3
2017/10/17 09,0.6,浦东川沙,193,24.0,10.9
2017/10/17 09,0.5,浦东张江,195,33.0,11.6
2017/10/17 09,0.5,浦东监测站,228,38.0,8.4
2017/10/17 09,0.6,全市平均,0,35.1,11.2
time,co,sitename,siteid,no2,pm25
2017/10/17 10,0.4,普陀监测站,201,31.0,9.8
2017/10/17 10,0.7,杨浦四漂,209,32.0,12.7
2017/10/17 10,0.7,卢湾师专附小,185,36.0,12.8
2017/10/17 10,0.6,*青浦淀山湖,203,27.0,13.3
2017/10/17 10,0.6,虹口凉城,215,30.0,13.6
2017/10/17 10,0.7,静安监测站,183,30.0,13.3
2017/10/17 10,0.7,徐汇上师大,207,28.0,12.1
2017/10/17 10,0.6,浦东川沙,193,18.0,11.5
2017/10/17 10,0.5,浦东张江,195,28.0,12.2
2017/10/17 10,0.5,浦东监测站,228,33.0,9.1
2017/10/17 10,0.6,全市平均,0,29.6,11.9
time,co,sitename,siteid,no2,pm25
2017/10/17 11,0.4,普陀监测站,201,24.0,9.9
2017/10/17 11,0.6,杨浦四漂,209,23.0,13.1
2017/10/17 11,0.7,卢湾师专附小,185,28.0,13.0
2017/10/17 11,0.5,*青浦淀山湖,203,26.0,14.0
2017/10/17 11,0.6,虹口凉城,215,26.0,13.9
2017/10/17 11,0.6,静安监测站,183,25.0,13.1
2017/10/17 11,0.7,徐汇上师大,207,25.0,12.8
2017/10/17 11,0.5,浦东川沙,193,17.0,11.9
2017/10/17 11,0.4,浦东张江,195,21.0,12.7
2017/10/17 11,0.4,浦东监测站,228,26.0,9.7
2017/10/17 11,0.5,全市平均,0,23.9,12.2
time,co,sitename,siteid,no2,pm25
2017/10/17 12,0.3,普陀监测站,201,18.0,10.3
2017/10/17 12,0.6,杨浦四漂,209,18.0,13.5
2017/10/17 12,0.6,卢湾师专附小,185,22.0,13.2
2017/10/17 12,0.5,*青浦淀山湖,203,21.0,14.5
2017/10/17 12,0.6,虹口凉城,215,17.0,14.0
2017/10/17 12,0.6,静安监测站,183,21.0,13.3
2017/10/17 12,0.7,徐汇上师大,207,19.0,13.1
2017/10/17 12,0.5,浦东川沙,193,20.0,12.1
2017/10/17 12,0.4,浦东张江,195,19.0,12.9
2017/10/17 12,0.4,浦东监测站,228,20.0,10.1
2017/10/17 12,0.5,全市平均,0,19.3,12.5
time,co,sitename,siteid,no2,pm25
2017/10/17 13,0.3,普陀监测站,201,18.0,10.6
2017/10/17 13,0.6,杨浦四漂,209,15.0,13.6
2017/10/17 13,0.6,卢湾师专附小,185,21.0,13.4
2017/10/17 13,0.4,*青浦淀山湖,203,17.0,15.0
2017/10/17 13,0.6,虹口凉城,215,20.0,14.1
2017/10/17 13,0.6,静安监测站,183,21.0,13.4
2017/10/17 13,－,徐汇上师大,207,－,13.1
2017/10/17 13,0.5,浦东川沙,193,16.0,12.5
2017/10/17 13,0.4,浦东张江,195,14.0,13.5
2017/10/17 13,0.4,浦东监测站,228,16.0,10.3
2017/10/17 13,0.5,全市平均,0,17.6,12.7
time,co,sitename,siteid,no2,pm25
2017/10/17 14,0.3,普陀监测站,201,19.0,10.8
2017/10/17 14,0.6,杨浦四漂,209,18.0,13.6
2017/10/17 14,0.6,卢湾师专附小,185,22.0,13.7
2017/10/17 14,0.4,*青浦淀山湖,203,17.0,15.3
2017/10/17 14,0.6,虹口凉城,215,19.0,14.3
2017/10/17 14,0.6,静安监测站,183,22.0,13.9
2017/10/17 14,－,徐汇上师大,207,－,13.3
