time,co,sitename,siteid,no2,pm25
2017/10/14 21,0.4,普陀监测站,201,38.0,11.1
2017/10/14 21,0.5,杨浦四漂,209,22.0,13.4
2017/10/14 21,0.6,卢湾师专附小,185,44.0,14.4
2017/10/14 21,0.6,*青浦淀山湖,203,20.0,14.3
2017/10/14 21,0.5,虹口凉城,215,22.0,10.9
2017/10/14 21,0.6,静安监测站,183,45.0,14.0
2017/10/14 21,0.6,徐汇上师大,207,34.0,13.5
2017/10/14 21,0.5,浦东川沙,193,38.0,13.9
2017/10/14 21,0.4,浦东张江,195,31.0,13.5
2017/10/14 21,0.4,浦东监测站,228,25.0,12.5
2017/10/14 21,0.5,全市平均,0,33.2,13.0
time,co,sitename,siteid,no2,pm25
2017/10/14 21,0.4,普陀监测站,201,38.0,11.1
2017/10/14 21,0.5,杨浦四漂,209,22.0,13.4
2017/10/14 21,0.6,卢湾师专附小,185,44.0,14.4
2017/10/14 21,0.6,*青浦淀山湖,203,20.0,14.3
2017/10/14 21,0.5,虹口凉城,215,22.0,10.9
2017/10/14 21,0.6,静安监测站,183,45.0,14.0
2017/10/14 21,0.6,徐汇上师大,207,34.0,13.5
2017/10/14 21,0.5,浦东川沙,193,38.0,13.9
2017/10/14 21,0.4,浦东张江,195,31.0,13.5
2017/10/14 21,0.4,浦东监测站,228,25.0,12.5
2017/10/14 21,0.5,全市平均,0,33.2,13.0
time,co,sitename,siteid,no2,pm25
2017/10/14 21,0.4,普陀监测站,201,38.0,11.1
2017/10/14 21,0.5,杨浦四漂,209,22.0,13.4
2017/10/14 21,0.6,卢湾师专附小,185,44.0,14.4
2017/10/14 21,0.6,*青浦淀山湖,203,20.0,14.3
2017/10/14 21,0.5,虹口凉城,215,22.0,10.9
2017/10/14 21,0.6,静安监测站,183,45.0,14.0
2017/10/14 21,0.6,徐汇上师大,207,34.0,13.5
2017/10/14 21,0.5,浦东川沙,193,38.0,13.9
2017/10/14 21,0.4,浦东张江,195,31.0,13.5
2017/10/14 21,0.4,浦东监测站,228,25.0,12.5
2017/10/14 21,0.5,全市平均,0,33.2,13.0
time,co,sitename,siteid,no2,pm25
2017/10/14 21,0.4,普陀监测站,201,38.0,11.1
2017/10/14 21,0.5,杨浦四漂,209,22.0,13.4
2017/10/14 21,0.6,卢湾师专附小,185,44.0,14.4
2017/10/14 21,0.6,*青浦淀山湖,203,20.0,14.3
2017/10/14 21,0.5,虹口凉城,215,22.0,10.9
2017/10/14 21,0.6,静安监测站,183,45.0,14.0
2017/10/14 21,0.6,徐汇上师大,207,34.0,13.5
2017/10/14 21,0.5,浦东川沙,193,38.0,13.9
2017/10/14 21,0.4,浦东张江,195,31.0,13.5
2017/10/14 21,0.4,浦东监测站,228,25.0,12.5
2017/10/14 21,0.5,全市平均,0,33.2,13.0
time,co,sitename,siteid,no2,pm25
2017/10/14 21,0.4,普陀监测站,201,38.0,11.1
2017/10/14 21,0.5,杨浦四漂,209,22.0,13.4
2017/10/14 21,0.6,卢湾师专附小,185,44.0,14.4
2017/10/14 21,0.6,*青浦淀山湖,203,20.0,14.3
2017/10/14 21,0.5,虹口凉城,215,22.0,10.9
2017/10/14 21,0.6,静安监测站,183,45.0,14.0
2017/10/14 21,0.6,徐汇上师大,207,34.0,13.5
2017/10/14 21,0.5,浦东川沙,193,38.0,13.9
2017/10/14 21,0.4,浦东张江,195,31.0,13.5
2017/10/14 21,0.4,浦东监测站,228,25.0,12.5
2017/10/14 21,0.5,全市平均,0,33.2,13.0
time,co,sitename,siteid,no2,pm25
2017/10/14 21,0.4,普陀监测站,201,38.0,11.1
2017/10/14 21,0.5,杨浦四漂,209,22.0,13.4
2017/10/14 21,0.6,卢湾师专附小,185,44.0,14.4
2017/10/14 21,0.6,*青浦淀山湖,203,20.0,14.3
2017/10/14 21,0.5,虹口凉城,215,22.0,10.9
2017/10/14 21,0.6,静安监测站,183,45.0,14.0
2017/10/14 21,0.6,徐汇上师大,207,34.0,13.5
2017/10/14 21,0.5,浦东川沙,193,38.0,13.9
2017/10/14 21,0.4,浦东张江,195,31.0,13.5
2017/10/14 21,0.4,浦东监测站,228,25.0,12.5
2017/10/14 21,0.5,全市平均,0,33.2,13.0
time,co,sitename,siteid,no2,pm25
2017/10/15 06,0.3,普陀监测站,201,16.0,12.5
2017/10/15 06,0.5,杨浦四漂,209,9.0,14.8
2017/10/15 06,0.4,卢湾师专附小,185,16.0,16.1
2017/10/15 06,0.5,*青浦淀山湖,203,19.0,14.6
2017/10/15 06,0.5,虹口凉城,215,20.0,13.7
2017/10/15 06,0.5,静安监测站,183,18.0,14.2
2017/10/15 06,0.5,徐汇上师大,207,10.0,13.1
2017/10/15 06,0.4,浦东川沙,193,13.0,15.1
2017/10/15 06,0.3,浦东张江,195,14.0,14.9
2017/10/15 06,0.3,浦东监测站,228,13.0,12.3
2017/10/15 06,0.4,全市平均,0,14.3,14.0
time,co,sitename,siteid,no2,pm25
2017/10/15 07,0.3,普陀监测站,201,24.0,12.5
2017/10/15 07,0.5,杨浦四漂,209,19.0,14.3
2017/10/15 07,0.5,卢湾师专附小,185,18.0,15.2
2017/10/15 07,0.5,*青浦淀山湖,203,19.0,14.1
2017/10/15 07,0.5,虹口凉城,215,22.0,13.6
2017/10/15 07,0.5,静安监测站,183,22.0,13.7
2017/10/15 07,0.6,徐汇上师大,207,18.0,12.7
2017/10/15 07,0.5,浦东川沙,193,13.0,15.4
2017/10/15 07,0.4,浦东张江,195,15.0,14.6
2017/10/15 07,0.3,浦东监测站,228,16.0,11.9
2017/10/15 07,0.5,全市平均,0,18.6,13.7
time,co,sitename,siteid,no2,pm25
2017/10/15 08,0.4,普陀监测站,201,25.0,9.6
2017/10/15 08,0.6,杨浦四漂,209,14.0,11.3
2017/10/15 08,0.5,卢湾师专附小,185,23.0,12.9
2017/10/15 08,0.5,*青浦淀山湖,203,21.0,12.4
2017/10/15 08,0.6,虹口凉城,215,24.0,13.3
2017/10/15 08,0.6,静安监测站,183,26.0,11.5
2017/10/15 08,0.6,徐汇上师大,207,25.0,11.0
2017/10/15 08,0.5,浦东川沙,193,16.0,12.1
2017/10/15 08,0.4,浦东张江,195,18.0,12.1
2017/10/15 08,0.3,浦东监测站,228,23.0,10.0
2017/10/15 08,0.5,全市平均,0,21.6,11.5
time,co,sitename,siteid,no2,pm25
2017/10/15 09,0.3,普陀监测站,201,21.0,9.5
2017/10/15 09,0.5,杨浦四漂,209,10.0,11.0
2017/10/15 09,0.5,卢湾师专附小,185,19.0,12.5
2017/10/15 09,0.5,*青浦淀山湖,203,19.0,11.8
2017/10/15 09,0.5,虹口凉城,215,21.0,12.6
2017/10/15 09,0.5,静安监测站,183,26.0,11.5
2017/10/15 09,0.6,徐汇上师大,207,19.0,10.9
2017/10/15 09,0.5,浦东川沙,193,14.0,11.8
2017/10/15 09,0.4,浦东张江,195,15.0,11.8
2017/10/15 09,0.3,浦东监测站,228,16.0,9.8
2017/10/15 09,0.5,全市平均,0,17.9,11.2
time,co,sitename,siteid,no2,pm25
2017/10/15 10,0.3,普陀监测站,201,19.0,9.2
2017/10/15 10,0.6,杨浦四漂,209,12.0,10.6
2017/10/15 10,0.5,卢湾师专附小,185,18.0,12.4
2017/10/15 10,0.5,*青浦淀山湖,203,21.0,11.7
2017/10/15 10,0.5,虹口凉城,215,20.0,11.8
2017/10/15 10,0.5,静安监测站,183,23.0,11.4
2017/10/15 10,0.6,徐汇上师大,207,19.0,10.7
2017/10/15 10,0.4,浦东川沙,193,14.0,11.3
2017/10/15 10,0.3,浦东张江,195,14.0,11.5
2017/10/15 10,0.3,浦东监测站,228,16.0,9.5
2017/10/15 10,0.5,全市平均,0,17.2,10.9
time,co,sitename,siteid,no2,pm25
2017/10/15 11,0.3,普陀监测站,201,21.0,8.8
2017/10/15 11,0.6,杨浦四漂,209,12.0,10.2
2017/10/15 11,0.5,卢湾师专附小,185,17.0,12.1
2017/10/15 11,0.5,*青浦淀山湖,203,22.0,11.4
2017/10/15 11,0.5,虹口凉城,215,19.0,11.3
2017/10/15 11,0.5,静安监测站,183,22.0,11.2
2017/10/15 11,0.6,徐汇上师大,207,16.0,10.3
2017/10/15 11,0.4,浦东川沙,193,14.0,10.9
2017/10/15 11,0.3,浦东张江,195,13.0,11.3
2017/10/15 11,0.3,浦东监测站,228,15.0,9.3
2017/10/15 11,0.5,全市平均,0,16.6,10.6
time,co,sitename,siteid,no2,pm25
2017/10/15 12,0.3,普陀监测站,201,20.0,8.5
2017/10/15 12,0.6,杨浦四漂,209,13.0,9.9
2017/10/15 12,0.5,卢湾师专附小,185,18.0,11.5
2017/10/15 12,0.5,*青浦淀山湖,203,21.0,11.0
2017/10/15 12,0.5,虹口凉城,215,21.0,10.7
2017/10/15 12,0.5,静安监测站,183,21.0,10.9
2017/10/15 12,0.6,徐汇上师大,207,16.0,10.0
2017/10/15 12,0.4,浦东川沙,193,18.0,10.5
2017/10/15 12,0.3,浦东张江,195,13.0,11.2
2017/10/15 12,0.3,浦东监测站,228,15.0,8.8
2017/10/15 12,0.5,全市平均,0,17.2,10.2
time,co,sitename,siteid,no2,pm25
2017/10/15 13,0.3,普陀监测站,201,19.0,8.0
2017/10/15 13,0.6,杨浦四漂,209,12.0,9.6
2017/10/15 13,0.5,卢湾师专附小,185,18.0,10.9
2017/10/15 13,0.7,*青浦淀山湖,203,26.0,10.8
2017/10/15 13,0.5,虹口凉城,215,17.0,10.7
2017/10/15 13,0.6,静安监测站,183,24.0,10.6
2017/10/15 13,0.6,徐汇上师大,207,16.0,9.9
2017/10/15 13,0.5,浦东川沙,193,17.0,9.9
2017/10/15 13,0.4,浦东张江,195,14.0,10.4
2017/10/15 13,0.3,浦东监测站,228,18.0,8.5
2017/10/15 13,0.5,全市平均,0,17.2,9.8
time,co,sitename,siteid,no2,pm25
2017/10/15 13,0.3,普陀监测站,201,19.0,8.0
2017/10/15 13,0.6,杨浦四漂,209,12.0,9.6
2017/10/15 13,0.5,卢湾师专附小,185,18.0,10.9
2017/10/15 13,0.7,*青浦淀山湖,203,26.0,10.8
2017/10/15 13,0.5,虹口凉城,215,17.0,10.7
2017/10/15 13,0.6,静安监测站,183,24.0,10.6
2017/10/15 13,0.6,徐汇上师大,207,16.0,9.9
2017/10/15 13,0.5,浦东川沙,193,17.0,9.9
2017/10/15 13,0.4,浦东张江,195,14.0,10.4
2017/10/15 13,0.3,浦东监测站,228,18.0,8.5
2017/10/15 13,0.5,全市平均,0,17.2,9.8
time,co,sitename,siteid,no2,pm25
2017/10/15 14,0.3,普陀监测站,201,20.0,7.6
2017/10/15 14,0.6,杨浦四漂,209,12.0,9.3
2017/10/15 14,0.5,卢湾师专附小,185,17.0,10.3
2017/10/15 14,0.6,*青浦淀山湖,203,23.0,10.3
2017/10/15 14,－,虹口凉城,215,－,10.9
2017/10/15 14,0.6,静安监测站,183,22.0,10.3
2017/10/15 14,0.6,徐汇上师大,207,18.0,9.6
2017/10/15 14,0.4,浦东川沙,193,16.0,9.6
2017/10/15 14,0.4,浦东张江,195,14.0,10.1
2017/10/15 14,0.3,浦东监测站,228,16.0,8.4
2017/10/15 14,0.5,全市平均,0,16.9,9.5
