time,co,sitename,siteid,no2,pm25
2017/10/22 00,0.8,普陀监测站,201,23.0,29.7
2017/10/22 00,1.0,杨浦四漂,209,34.0,30.5
2017/10/22 00,1.2,卢湾师专附小,185,21.0,29.8
2017/10/22 00,0.8,*青浦淀山湖,203,25.0,42.4
2017/10/22 00,1.5,虹口凉城,215,40.0,29.0
2017/10/22 00,1.3,静安监测站,183,35.0,32.3
2017/10/22 00,1.3,徐汇上师大,207,20.0,31.5
2017/10/22 00,0.9,浦东川沙,193,35.0,28.4
2017/10/22 00,0.8,浦东张江,195,33.0,28.3
2017/10/22 00,0.8,浦东监测站,228,28.0,26.8
2017/10/22 00,1.1,全市平均,0,29.9,29.5
time,co,sitename,siteid,no2,pm25
2017/10/22 01,0.7,普陀监测站,201,23.0,30.8
2017/10/22 01,1.0,杨浦四漂,209,25.0,31.9
2017/10/22 01,1.4,卢湾师专附小,185,30.0,30.9
2017/10/22 01,0.9,*青浦淀山湖,203,28.0,43.3
2017/10/22 01,1.7,虹口凉城,215,45.0,30.3
2017/10/22 01,1.0,静安监测站,183,25.0,33.2
2017/10/22 01,1.0,徐汇上师大,207,17.0,32.1
2017/10/22 01,0.9,浦东川沙,193,34.0,29.5
2017/10/22 01,0.8,浦东张江,195,31.0,29.3
2017/10/22 01,0.8,浦东监测站,228,22.0,28.1
2017/10/22 01,1.0,全市平均,0,28.0,30.6
time,co,sitename,siteid,no2,pm25
2017/10/22 02,0.7,普陀监测站,201,29.0,32.1
2017/10/22 02,1.0,杨浦四漂,209,24.0,33.1
2017/10/22 02,1.2,卢湾师专附小,185,21.0,32.0
2017/10/22 02,1.0,*青浦淀山湖,203,24.0,44.7
2017/10/22 02,1.2,虹口凉城,215,29.0,31.4
2017/10/22 02,1.0,静安监测站,183,31.0,34.0
2017/10/22 02,1.0,徐汇上师大,207,21.0,33.0
2017/10/22 02,0.9,浦东川沙,193,33.0,30.8
2017/10/22 02,0.7,浦东张江,195,24.0,30.3
2017/10/22 02,0.7,浦东监测站,228,19.0,29.4
2017/10/22 02,0.9,全市平均,0,25.7,31.7
time,co,sitename,siteid,no2,pm25
2017/10/22 03,0.7,普陀监测站,201,31.0,33.8
2017/10/22 03,0.9,杨浦四漂,209,24.0,34.2
2017/10/22 03,1.2,卢湾师专附小,185,23.0,32.8
2017/10/22 03,1.0,*青浦淀山湖,203,22.0,45.7
2017/10/22 03,1.3,虹口凉城,215,33.0,32.1
2017/10/22 03,1.0,静安监测站,183,34.0,35.3
2017/10/22 03,1.0,徐汇上师大,207,23.0,34.3
2017/10/22 03,0.8,浦东川沙,193,26.0,31.9
2017/10/22 03,0.7,浦东张江,195,25.0,31.5
2017/10/22 03,0.7,浦东监测站,228,17.0,30.7
2017/10/22 03,0.9,全市平均,0,26.2,33.0
time,co,sitename,siteid,no2,pm25
2017/10/22 04,0.7,普陀监测站,201,31.0,35.7
2017/10/22 04,0.9,杨浦四漂,209,23.0,35.2
2017/10/22 04,1.2,卢湾师专附小,185,25.0,34.0
2017/10/22 04,1.3,*青浦淀山湖,203,30.0,47.1
2017/10/22 04,1.3,虹口凉城,215,36.0,33.0
2017/10/22 04,1.0,静安监测站,183,33.0,37.0
2017/10/22 04,1.0,徐汇上师大,207,22.0,35.8
2017/10/22 04,0.8,浦东川沙,193,25.0,32.7
2017/10/22 04,0.7,浦东张江,195,24.0,32.4
2017/10/22 04,0.6,浦东监测站,228,17.0,31.7
2017/10/22 04,0.9,全市平均,0,26.2,34.2
time,co,sitename,siteid,no2,pm25
2017/10/22 05,0.7,普陀监测站,201,30.0,37.1
2017/10/22 05,0.8,杨浦四漂,209,23.0,36.2
2017/10/22 05,1.1,卢湾师专附小,185,24.0,35.4
2017/10/22 05,1.3,*青浦淀山湖,203,28.0,48.5
2017/10/22 05,1.2,虹口凉城,215,40.0,33.8
2017/10/22 05,0.9,静安监测站,183,33.0,38.8
2017/10/22 05,1.0,徐汇上师大,207,21.0,37.3
2017/10/22 05,0.8,浦东川沙,193,25.0,33.6
2017/10/22 05,0.6,浦东张江,195,25.0,33.3
2017/10/22 05,0.6,浦东监测站,228,17.0,32.5
2017/10/22 05,0.9,全市平均,0,26.4,35.3
time,co,sitename,siteid,no2,pm25
2017/10/22 06,0.6,普陀监测站,201,37.0,38.5
2017/10/22 06,0.8,杨浦四漂,209,29.0,36.7
2017/10/22 06,1.1,卢湾师专附小,185,32.0,36.8
2017/10/22 06,1.2,*青浦淀山湖,203,29.0,50.3
2017/10/22 06,1.1,虹口凉城,215,55.0,34.7
2017/10/22 06,0.9,静安监测站,183,39.0,40.4
2017/10/22 06,1.0,徐汇上师大,207,26.0,38.7
2017/10/22 06,0.8,浦东川沙,193,31.0,34.3
2017/10/22 06,0.6,浦东张江,195,25.0,34.0
2017/10/22 06,0.6,浦东监测站,228,19.0,33.2
2017/10/22 06,0.8,全市平均,0,32.6,36.3
time,co,sitename,siteid,no2,pm25
2017/10/22 07,0.7,普陀监测站,201,51.0,39.9
2017/10/22 07,0.9,杨浦四漂,209,38.0,37.2
2017/10/22 07,1.1,卢湾师专附小,185,41.0,38.2
2017/10/22 07,1.3,*青浦淀山湖,203,33.0,51.6
2017/10/22 07,1.1,虹口凉城,215,74.0,36.2
2017/10/22 07,0.9,静安监测站,183,45.0,41.8
2017/10/22 07,0.9,徐汇上师大,207,30.0,39.5
2017/10/22 07,0.8,浦东川沙,193,44.0,34.8
2017/10/22 07,0.6,浦东张江,195,36.0,34.4
2017/10/22 07,0.8,浦东监测站,228,36.0,33.8
2017/10/22 07,0.9,全市平均,0,43.9,37.3
time,co,sitename,siteid,no2,pm25
2017/10/22 08,0.7,普陀监测站,201,50.0,41.1
