time,co,sitename,siteid,no2,pm25
2017/10/19 00,0.4,普陀监测站,201,25.0,19.6
2017/10/19 00,0.6,杨浦四漂,209,17.0,20.5
2017/10/19 00,0.7,卢湾师专附小,185,22.0,22.8
2017/10/19 00,0.5,*青浦淀山湖,203,23.0,24.3
2017/10/19 00,0.5,虹口凉城,215,27.0,22.2
2017/10/19 00,0.8,静安监测站,183,36.0,23.5
2017/10/19 00,0.8,徐汇上师大,207,22.0,23.3
2017/10/19 00,0.5,浦东川沙,193,23.0,20.7
2017/10/19 00,0.4,浦东张江,195,30.0,22.4
2017/10/19 00,0.4,浦东监测站,228,21.0,20.5
2017/10/19 00,0.6,全市平均,0,24.8,21.7
time,co,sitename,siteid,no2,pm25
2017/10/19 01,0.4,普陀监测站,201,25.0,19.6
2017/10/19 01,0.6,杨浦四漂,209,17.0,20.1
2017/10/19 01,0.6,卢湾师专附小,185,19.0,22.7
2017/10/19 01,0.5,*青浦淀山湖,203,26.0,24.2
2017/10/19 01,0.6,虹口凉城,215,24.0,21.9
2017/10/19 01,0.8,静安监测站,183,39.0,23.1
2017/10/19 01,0.9,徐汇上师大,207,24.0,23.3
2017/10/19 01,0.5,浦东川沙,193,37.0,20.9
2017/10/19 01,0.4,浦东张江,195,27.0,22.0
2017/10/19 01,0.4,浦东监测站,228,19.0,20.1
2017/10/19 01,0.6,全市平均,0,25.7,21.5
time,co,sitename,siteid,no2,pm25
2017/10/19 02,0.4,普陀监测站,201,22.0,19.4
2017/10/19 02,0.6,杨浦四漂,209,22.0,19.9
2017/10/19 02,0.7,卢湾师专附小,185,19.0,22.3
2017/10/19 02,0.5,*青浦淀山湖,203,28.0,24.0
2017/10/19 02,0.8,虹口凉城,215,31.0,22.0
2017/10/19 02,0.7,静安监测站,183,28.0,23.0
2017/10/19 02,0.8,徐汇上师大,207,19.0,23.3
2017/10/19 02,0.5,浦东川沙,193,34.0,20.8
2017/10/19 02,0.4,浦东张江,195,23.0,21.8
2017/10/19 02,0.4,浦东监测站,228,20.0,19.8
2017/10/19 02,0.6,全市平均,0,24.2,21.3
time,co,sitename,siteid,no2,pm25
2017/10/19 03,0.4,普陀监测站,201,30.0,19.3
2017/10/19 03,0.6,杨浦四漂,209,24.0,19.8
2017/10/19 03,0.8,卢湾师专附小,185,27.0,22.3
2017/10/19 03,0.7,*青浦淀山湖,203,35.0,24.2
2017/10/19 03,0.7,虹口凉城,215,29.0,21.9
2017/10/19 03,0.7,静安监测站,183,32.0,22.9
2017/10/19 03,0.8,徐汇上师大,207,22.0,23.2
2017/10/19 03,0.5,浦东川沙,193,33.0,20.7
2017/10/19 03,0.4,浦东张江,195,31.0,21.5
2017/10/19 03,0.3,浦东监测站,228,24.0,19.6
2017/10/19 03,0.6,全市平均,0,28.0,21.2
time,co,sitename,siteid,no2,pm25
2017/10/19 04,0.3,普陀监测站,201,32.0,19.5
2017/10/19 04,0.6,杨浦四漂,209,26.0,19.7
2017/10/19 04,0.9,卢湾师专附小,185,31.0,22.3
2017/10/19 04,0.8,*青浦淀山湖,203,32.0,24.3
2017/10/19 04,0.9,虹口凉城,215,39.0,21.8
2017/10/19 04,0.7,静安监测站,183,31.0,22.9
2017/10/19 04,0.7,徐汇上师大,207,24.0,23.1
2017/10/19 04,0.5,浦东川沙,193,36.0,20.6
2017/10/19 04,0.4,浦东张江,195,27.0,21.3
2017/10/19 04,0.3,浦东监测站,228,23.0,19.3
2017/10/19 04,0.6,全市平均,0,29.9,21.1
time,co,sitename,siteid,no2,pm25
2017/10/19 05,0.3,普陀监测站,201,37.0,19.4
2017/10/19 05,0.6,杨浦四漂,209,36.0,19.3
2017/10/19 05,0.9,卢湾师专附小,185,34.0,22.4
2017/10/19 05,1.2,*青浦淀山湖,203,42.0,24.5
2017/10/19 05,0.8,虹口凉城,215,43.0,22.2
2017/10/19 05,0.6,静安监测站,183,35.0,22.9
2017/10/19 05,0.6,徐汇上师大,207,25.0,22.9
2017/10/19 05,0.5,浦东川沙,193,35.0,20.4
2017/10/19 05,0.4,浦东张江,195,33.0,21.2
2017/10/19 05,0.3,浦东监测站,228,26.0,19.0
2017/10/19 05,0.6,全市平均,0,33.8,21.1
time,co,sitename,siteid,no2,pm25
2017/10/19 06,0.4,普陀监测站,201,47.0,19.4
2017/10/19 06,0.7,杨浦四漂,209,45.0,19.2
2017/10/19 06,0.8,卢湾师专附小,185,37.0,22.4
2017/10/19 06,1.2,*青浦淀山湖,203,53.0,25.5
2017/10/19 06,0.7,虹口凉城,215,54.0,22.3
2017/10/19 06,0.6,静安监测站,183,46.0,23.0
2017/10/19 06,0.6,徐汇上师大,207,33.0,22.9
2017/10/19 06,0.5,浦东川沙,193,48.0,20.2
2017/10/19 06,0.4,浦东张江,195,43.0,20.9
2017/10/19 06,0.4,浦东监测站,228,40.0,18.8
2017/10/19 06,0.6,全市平均,0,43.7,21.0
time,co,sitename,siteid,no2,pm25
2017/10/19 07,0.4,普陀监测站,201,53.0,20.0
2017/10/19 07,0.9,杨浦四漂,209,61.0,19.4
2017/10/19 07,0.9,卢湾师专附小,185,54.0,22.7
2017/10/19 07,1.1,*青浦淀山湖,203,51.0,26.6
2017/10/19 07,0.8,虹口凉城,215,66.0,22.6
2017/10/19 07,0.7,静安监测站,183,54.0,23.4
2017/10/19 07,0.7,徐汇上师大,207,42.0,23.3
2017/10/19 07,0.6,浦东川沙,193,61.0,20.2
2017/10/19 07,0.5,浦东张江,195,56.0,20.8
2017/10/19 07,0.5,浦东监测站,228,59.0,19.0
2017/10/19 07,0.7,全市平均,0,56.2,21.3
time,co,sitename,siteid,no2,pm25
2017/10/19 08,0.5,普陀监测站,201,54.0,20.6
2017/10/19 08,1.0,杨浦四漂,209,64.0,19.7
2017/10/19 08,1.0,卢湾师专附小,185,57.0,23.4
2017/10/19 08,1.2,*青浦淀山湖,203,46.0,27.9
2017/10/19 08,1.0,虹口凉城,215,66.0,23.5
2017/10/19 08,0.8,静安监测站,183,57.0,24.0
2017/10/19 08,0.8,徐汇上师大,207,45.0,23.9
2017/10/19 08,0.6,浦东川沙,193,54.0,20.3
2017/10/19 08,0.6,浦东张江,195,68.0,20.8
2017/10/19 08,0.6,浦东监测站,228,62.0,19.5
2017/10/19 08,0.8,全市平均,0,58.6,21.7
time,co,sitename,siteid,no2,pm25
2017/10/19 09,0.5,普陀监测站,201,52.0,21.2
2017/10/19 09,0.8,杨浦四漂,209,39.0,20.1
2017/10/19 09,1.2,卢湾师专附小,185,58.0,24.1
2017/10/19 09,1.2,*青浦淀山湖,203,44.0,29.0
2017/10/19 09,1.2,虹口凉城,215,68.0,24.4
2017/10/19 09,1.0,静安监测站,183,56.0,24.4
2017/10/19 09,0.9,徐汇上师大,207,45.0,24.5
2017/10/19 09,0.6,浦东川沙,193,37.0,20.3
2017/10/19 09,0.6,浦东张江,195,47.0,20.9
2017/10/19 09,0.7,浦东监测站,228,53.0,20.1
2017/10/19 09,0.8,全市平均,0,50.6,22.2
time,co,sitename,siteid,no2,pm25
2017/10/19 10,0.5,普陀监测站,201,54.0,21.7
2017/10/19 10,0.8,杨浦四漂,209,34.0,20.2
2017/10/19 10,1.3,卢湾师专附小,185,53.0,24.6
2017/10/19 10,1.1,*青浦淀山湖,203,42.0,29.8
2017/10/19 10,1.3,虹口凉城,215,62.0,25.1
2017/10/19 10,1.0,静安监测站,183,49.0,25.0
2017/10/19 10,0.9,徐汇上师大,207,45.0,25.2
2017/10/19 10,0.6,浦东川沙,193,－,20.5
2017/10/19 10,0.5,浦东张江,195,39.0,21.2
2017/10/19 10,0.6,浦东监测站,228,39.0,20.3
2017/10/19 10,0.8,全市平均,0,46.9,22.6
time,co,sitename,siteid,no2,pm25
2017/10/19 11,0.5,普陀监测站,201,39.0,22.2
2017/10/19 11,0.8,杨浦四漂,209,31.0,20.4
2017/10/19 11,1.3,卢湾师专附小,185,50.0,24.9
