time,co,sitename,siteid,no2,pm25
2017/10/20 00,0.4,普陀监测站,201,34.0,23.5
2017/10/20 00,0.6,杨浦四漂,209,26.0,23.6
2017/10/20 00,0.7,卢湾师专附小,185,34.0,28.0
2017/10/20 00,0.6,*青浦淀山湖,203,27.0,36.7
2017/10/20 00,0.6,虹口凉城,215,34.0,29.0
2017/10/20 00,0.6,静安监测站,183,31.0,27.0
2017/10/20 00,0.7,徐汇上师大,207,27.0,27.8
2017/10/20 00,0.5,浦东川沙,193,27.0,20.1
2017/10/20 00,0.4,浦东张江,195,45.0,21.9
2017/10/20 00,0.4,浦东监测站,228,28.0,21.9
2017/10/20 00,0.6,全市平均,0,31.8,24.7
time,co,sitename,siteid,no2,pm25
2017/10/20 01,0.4,普陀监测站,201,30.0,23.8
2017/10/20 01,0.6,杨浦四漂,209,26.0,23.9
2017/10/20 01,0.7,卢湾师专附小,185,30.0,28.0
2017/10/20 01,0.5,*青浦淀山湖,203,25.0,37.1
2017/10/20 01,0.6,虹口凉城,215,34.0,29.3
2017/10/20 01,0.7,静安监测站,183,41.0,27.1
2017/10/20 01,0.7,徐汇上师大,207,25.0,27.8
2017/10/20 01,0.5,浦东川沙,193,48.0,20.0
2017/10/20 01,0.4,浦东张江,195,41.0,22.4
2017/10/20 01,0.4,浦东监测站,228,30.0,22.1
2017/10/20 01,0.6,全市平均,0,33.9,24.9
time,co,sitename,siteid,no2,pm25
2017/10/20 02,0.4,普陀监测站,201,28.0,24.2
2017/10/20 02,0.7,杨浦四漂,209,35.0,24.0
2017/10/20 02,0.7,卢湾师专附小,185,29.0,28.1
2017/10/20 02,0.6,*青浦淀山湖,203,27.0,37.7
2017/10/20 02,0.6,虹口凉城,215,24.0,29.5
2017/10/20 02,0.7,静安监测站,183,38.0,27.3
2017/10/20 02,0.7,徐汇上师大,207,23.0,27.9
2017/10/20 02,0.5,浦东川沙,193,56.0,20.5
2017/10/20 02,0.4,浦东张江,195,33.0,22.8
2017/10/20 02,0.4,浦东监测站,228,30.0,22.3
2017/10/20 02,0.6,全市平均,0,32.9,25.1
time,co,sitename,siteid,no2,pm25
2017/10/20 03,0.4,普陀监测站,201,26.0,24.5
