time,co,sitename,siteid,no2,pm25
2017/10/18 00,0.4,普陀监测站,201,38.0,12.8
2017/10/18 00,0.7,杨浦四漂,209,36.0,16.4
2017/10/18 00,0.7,卢湾师专附小,185,37.0,16.7
2017/10/18 00,0.6,*青浦淀山湖,203,34.0,16.9
2017/10/18 00,0.7,虹口凉城,215,50.0,16.0
2017/10/18 00,0.7,静安监测站,183,44.0,15.8
2017/10/18 00,0.7,徐汇上师大,207,30.0,16.4
2017/10/18 00,0.6,浦东川沙,193,34.0,15.6
2017/10/18 00,0.5,浦东张江,195,49.0,17.9
2017/10/18 00,0.4,浦东监测站,228,51.0,13.5
2017/10/18 00,0.6,全市平均,0,41.0,15.6
time,co,sitename,siteid,no2,pm25
2017/10/18 01,0.4,普陀监测站,201,31.0,13.0
2017/10/18 01,0.7,杨浦四漂,209,33.0,16.7
2017/10/18 01,0.6,卢湾师专附小,185,29.0,17.0
2017/10/18 01,0.6,*青浦淀山湖,203,36.0,17.2
2017/10/18 01,0.7,虹口凉城,215,37.0,16.3
2017/10/18 01,0.7,静安监测站,183,43.0,16.3
2017/10/18 01,0.7,徐汇上师大,207,29.0,16.6
2017/10/18 01,0.6,浦东川沙,193,29.0,15.8
2017/10/18 01,0.4,浦东张江,195,37.0,18.2
2017/10/18 01,0.4,浦东监测站,228,41.0,14.0
2017/10/18 01,0.6,全市平均,0,34.3,15.9
time,co,sitename,siteid,no2,pm25
2017/10/18 02,0.6,普陀监测站,201,35.0,13.0
2017/10/18 02,0.7,杨浦四漂,209,29.0,16.8
2017/10/18 02,0.6,卢湾师专附小,185,24.0,17.3
2017/10/18 02,0.6,*青浦淀山湖,203,36.0,17.5
2017/10/18 02,0.6,虹口凉城,215,37.0,16.5
2017/10/18 02,0.6,静安监测站,183,30.0,16.6
2017/10/18 02,0.7,徐汇上师大,207,23.0,16.8
2017/10/18 02,0.5,浦东川沙,193,29.0,15.8
2017/10/18 02,0.4,浦东张江,195,42.0,18.4
2017/10/18 02,0.4,浦东监测站,228,27.0,14.4
2017/10/18 02,0.6,全市平均,0,30.7,16.2
time,co,sitename,siteid,no2,pm25
2017/10/18 03,0.5,普陀监测站,201,33.0,13.1
2017/10/18 03,0.7,杨浦四漂,209,25.0,17.0
2017/10/18 03,0.6,卢湾师专附小,185,24.0,17.5
2017/10/18 03,0.6,*青浦淀山湖,203,37.0,17.7
