time,co,sitename,siteid,no2,pm25
2017/10/21 00,0.6,普陀监测站,201,41.0,18.2
2017/10/21 00,0.6,杨浦四漂,209,35.0,17.9
2017/10/21 00,0.8,卢湾师专附小,185,33.0,18.6
2017/10/21 00,0.6,*青浦淀山湖,203,24.0,24.3
2017/10/21 00,0.6,虹口凉城,215,31.0,19.4
2017/10/21 00,0.9,静安监测站,183,58.0,20.0
2017/10/21 00,0.8,徐汇上师大,207,33.0,18.2
2017/10/21 00,0.6,浦东川沙,193,51.0,17.3
2017/10/21 00,0.4,浦东张江,195,41.0,17.1
2017/10/21 00,0.4,浦东监测站,228,43.0,16.0
2017/10/21 00,0.6,全市平均,0,40.7,18.0
time,co,sitename,siteid,no2,pm25
2017/10/21 01,0.6,普陀监测站,201,38.0,18.5
2017/10/21 01,0.6,杨浦四漂,209,36.0,18.1
2017/10/21 01,0.8,卢湾师专附小,185,28.0,18.9
2017/10/21 01,0.6,*青浦淀山湖,203,24.0,24.6
2017/10/21 01,0.6,虹口凉城,215,27.0,19.5
2017/10/21 01,0.9,静安监测站,183,58.0,20.3
2017/10/21 01,0.9,徐汇上师大,207,34.0,18.7
2017/10/21 01,0.5,浦东川沙,193,52.0,17.4
2017/10/21 01,0.4,浦东张江,195,36.0,17.1
2017/10/21 01,0.4,浦东监测站,228,34.0,16.0
2017/10/21 01,0.6,全市平均,0,38.1,18.3
time,co,sitename,siteid,no2,pm25
2017/10/21 02,0.5,普陀监测站,201,30.0,18.7
2017/10/21 02,0.6,杨浦四漂,209,23.0,18.4
2017/10/21 02,0.7,卢湾师专附小,185,25.0,19.5
2017/10/21 02,0.6,*青浦淀山湖,203,32.0,24.4
2017/10/21 02,0.6,虹口凉城,215,25.0,19.5
2017/10/21 02,0.9,静安监测站,183,49.0,20.7
2017/10/21 02,0.9,徐汇上师大,207,32.0,18.8
2017/10/21 02,0.5,浦东川沙,193,57.0,17.2
2017/10/21 02,0.4,浦东张江,195,33.0,17.3
2017/10/21 02,0.6,浦东监测站,228,31.0,16.1
2017/10/21 02,0.6,全市平均,0,33.9,18.4
time,co,sitename,siteid,no2,pm25
2017/10/21 03,0.4,普陀监测站,201,29.0,18.7
2017/10/21 03,0.6,杨浦四漂,209,22.0,18.4
2017/10/21 03,0.7,卢湾师专附小,185,23.0,19.7
2017/10/21 03,0.7,*青浦淀山湖,203,38.0,24.5
2017/10/21 03,0.6,虹口凉城,215,25.0,19.6
2017/10/21 03,0.8,静安监测站,183,42.0,20.9
2017/10/21 03,0.8,徐汇上师大,207,28.0,19.2
2017/10/21 03,0.5,浦东川沙,193,50.0,17.3
2017/10/21 03,0.3,浦东张江,195,31.0,17.1
2017/10/21 03,0.4,浦东监测站,228,23.0,16.0
2017/10/21 03,0.6,全市平均,0,30.3,18.5
time,co,sitename,siteid,no2,pm25
2017/10/21 04,0.4,普陀监测站,201,38.0,18.6
2017/10/21 04,0.6,杨浦四漂,209,25.0,18.5
2017/10/21 04,0.7,卢湾师专附小,185,20.0,19.9
2017/10/21 04,0.6,*青浦淀山湖,203,34.0,24.7
2017/10/21 04,0.6,虹口凉城,215,26.0,19.5
2017/10/21 04,0.7,静安监测站,183,37.0,21.0
2017/10/21 04,0.7,徐汇上师大,207,27.0,19.3
2017/10/21 04,0.5,浦东川沙,193,36.0,17.3
2017/10/21 04,0.3,浦东张江,195,28.0,17.3
2017/10/21 04,0.3,浦东监测站,228,20.0,16.0
2017/10/21 04,0.5,全市平均,0,28.6,18.6
time,co,sitename,siteid,no2,pm25
2017/10/21 05,0.4,普陀监测站,201,44.0,19.1
2017/10/21 05,0.6,杨浦四漂,209,25.0,18.6
2017/10/21 05,0.7,卢湾师专附小,185,18.0,19.8
2017/10/21 05,0.7,*青浦淀山湖,203,34.0,25.3
2017/10/21 05,0.7,虹口凉城,215,28.0,19.3
2017/10/21 05,0.7,静安监测站,183,40.0,21.0
2017/10/21 05,0.7,徐汇上师大,207,30.0,19.4
2017/10/21 05,0.5,浦东川沙,193,40.0,17.4
2017/10/21 05,0.4,浦东张江,195,30.0,17.4
2017/10/21 05,0.4,浦东监测站,228,21.0,16.0
2017/10/21 05,0.5,全市平均,0,30.7,18.7
time,co,sitename,siteid,no2,pm25
2017/10/21 06,0.5,普陀监测站,201,40.0,19.4
2017/10/21 06,0.6,杨浦四漂,209,28.0,18.7
2017/10/21 06,0.7,卢湾师专附小,185,25.0,19.8
2017/10/21 06,0.8,*青浦淀山湖,203,35.0,25.7
2017/10/21 06,0.7,虹口凉城,215,37.0,19.0
2017/10/21 06,0.8,静安监测站,183,48.0,20.9
