time,co,sitename,siteid,no2,pm25
2017/10/13 19,0.3,普陀监测站,201,25.0,7.9
2017/10/13 19,0.5,杨浦四漂,209,24.0,9.4
2017/10/13 19,0.5,卢湾师专附小,185,37.0,10.2
2017/10/13 19,0.7,*青浦淀山湖,203,40.0,14.5
2017/10/13 19,0.5,虹口凉城,215,32.0,8.8
2017/10/13 19,0.5,静安监测站,183,28.0,10.3
2017/10/13 19,0.5,徐汇上师大,207,29.0,10.5
2017/10/13 19,0.5,浦东川沙,193,22.0,9.2
2017/10/13 19,0.3,浦东张江,195,27.0,10.3
2017/10/13 19,0.3,浦东监测站,228,34.0,9.7
2017/10/13 19,0.4,全市平均,0,28.7,9.5
time,co,sitename,siteid,no2,pm25
2017/10/13 19,0.3,普陀监测站,201,25.0,7.9
2017/10/13 19,0.5,杨浦四漂,209,24.0,9.4
2017/10/13 19,0.5,卢湾师专附小,185,37.0,10.2
2017/10/13 19,0.7,*青浦淀山湖,203,40.0,14.5
2017/10/13 19,0.5,虹口凉城,215,32.0,8.8
2017/10/13 19,0.5,静安监测站,183,28.0,10.3
2017/10/13 19,0.5,徐汇上师大,207,29.0,10.5
2017/10/13 19,0.5,浦东川沙,193,22.0,9.2
2017/10/13 19,0.3,浦东张江,195,27.0,10.3
2017/10/13 19,0.3,浦东监测站,228,34.0,9.7
2017/10/13 19,0.4,全市平均,0,28.7,9.5
time,co,sitename,siteid,no2,pm25
2017/10/13 19,0.3,普陀监测站,201,25.0,7.9
2017/10/13 19,0.5,杨浦四漂,209,24.0,9.4
2017/10/13 19,0.5,卢湾师专附小,185,37.0,10.2
2017/10/13 19,0.7,*青浦淀山湖,203,40.0,14.5
2017/10/13 19,0.5,虹口凉城,215,32.0,8.8
2017/10/13 19,0.5,静安监测站,183,28.0,10.3
2017/10/13 19,0.5,徐汇上师大,207,29.0,10.5
2017/10/13 19,0.5,浦东川沙,193,22.0,9.2
2017/10/13 19,0.3,浦东张江,195,27.0,10.3
2017/10/13 19,0.3,浦东监测站,228,34.0,9.7
2017/10/13 19,0.4,全市平均,0,28.7,9.5
time,co,sitename,siteid,no2,pm25
2017/10/13 19,0.3,普陀监测站,201,25.0,7.9
2017/10/13 19,0.5,杨浦四漂,209,24.0,9.4
2017/10/13 19,0.5,卢湾师专附小,185,37.0,10.2
2017/10/13 19,0.7,*青浦淀山湖,203,40.0,14.5
2017/10/13 19,0.5,虹口凉城,215,32.0,8.8
2017/10/13 19,0.5,静安监测站,183,28.0,10.3
2017/10/13 19,0.5,徐汇上师大,207,29.0,10.5
2017/10/13 19,0.5,浦东川沙,193,22.0,9.2
2017/10/13 19,0.3,浦东张江,195,27.0,10.2
2017/10/13 19,0.3,浦东监测站,228,34.0,9.7
2017/10/13 19,0.4,全市平均,0,28.7,9.6
time,co,sitename,siteid,no2,pm25
2017/10/13 19,0.3,普陀监测站,201,25.0,7.9
2017/10/13 19,0.5,杨浦四漂,209,24.0,9.4
2017/10/13 19,0.5,卢湾师专附小,185,37.0,10.2
2017/10/13 19,0.7,*青浦淀山湖,203,40.0,14.5
2017/10/13 19,0.5,虹口凉城,215,32.0,8.8
2017/10/13 19,0.5,静安监测站,183,28.0,10.3
2017/10/13 19,0.5,徐汇上师大,207,29.0,10.5
2017/10/13 19,0.5,浦东川沙,193,22.0,9.2
2017/10/13 19,0.3,浦东张江,195,27.0,10.2
2017/10/13 19,0.3,浦东监测站,228,34.0,9.7
2017/10/13 19,0.4,全市平均,0,28.7,9.5
time,co,sitename,siteid,no2,pm25
2017/10/13 19,0.3,普陀监测站,201,25.0,7.9
2017/10/13 19,0.5,杨浦四漂,209,24.0,9.4
2017/10/13 19,0.5,卢湾师专附小,185,37.0,10.2
2017/10/13 19,0.7,*青浦淀山湖,203,40.0,14.5
2017/10/13 19,0.5,虹口凉城,215,32.0,8.8
2017/10/13 19,0.5,静安监测站,183,28.0,10.3
2017/10/13 19,0.5,徐汇上师大,207,29.0,10.5
2017/10/13 19,0.5,浦东川沙,193,22.0,9.2
2017/10/13 19,0.3,浦东张江,195,27.0,10.2
2017/10/13 19,0.3,浦东监测站,228,34.0,9.7
2017/10/13 19,0.4,全市平均,0,28.7,9.6
time,co,sitename,siteid,no2,pm25
2017/10/13 19,0.3,普陀监测站,201,25.0,7.9
2017/10/13 19,0.5,杨浦四漂,209,24.0,9.4
2017/10/13 19,0.5,卢湾师专附小,185,37.0,10.2
2017/10/13 19,0.7,*青浦淀山湖,203,40.0,14.5
2017/10/13 19,0.5,虹口凉城,215,32.0,8.8
2017/10/13 19,0.5,静安监测站,183,28.0,10.3
2017/10/13 19,0.5,徐汇上师大,207,29.0,10.5
2017/10/13 19,0.5,浦东川沙,193,22.0,9.2
2017/10/13 19,0.3,浦东张江,195,27.0,10.3
2017/10/13 19,0.3,浦东监测站,228,34.0,9.7
2017/10/13 19,0.4,全市平均,0,28.7,9.5
time,co,sitename,siteid,no2,pm25
2017/10/13 19,0.3,普陀监测站,201,25.0,7.9
2017/10/13 19,0.5,杨浦四漂,209,24.0,9.4
2017/10/13 19,0.5,卢湾师专附小,185,37.0,10.2
2017/10/13 19,0.7,*青浦淀山湖,203,40.0,14.5
2017/10/13 19,0.5,虹口凉城,215,32.0,8.8
2017/10/13 19,0.5,静安监测站,183,28.0,10.3
2017/10/13 19,0.5,徐汇上师大,207,29.0,10.5
2017/10/13 19,0.5,浦东川沙,193,22.0,9.2
2017/10/13 19,0.3,浦东张江,195,27.0,10.3
2017/10/13 19,0.3,浦东监测站,228,34.0,9.7
2017/10/13 19,0.4,全市平均,0,28.7,9.5
time,co,sitename,siteid,no2,pm25
2017/10/13 19,0.3,普陀监测站,201,25.0,7.9
2017/10/13 19,0.5,杨浦四漂,209,24.0,9.4
2017/10/13 19,0.5,卢湾师专附小,185,37.0,10.2
2017/10/13 19,0.7,*青浦淀山湖,203,40.0,14.5
2017/10/13 19,0.5,虹口凉城,215,32.0,8.8
2017/10/13 19,0.5,静安监测站,183,28.0,10.3
2017/10/13 19,0.5,徐汇上师大,207,29.0,10.5
2017/10/13 19,0.5,浦东川沙,193,22.0,9.2
2017/10/13 19,0.3,浦东张江,195,27.0,10.3
2017/10/13 19,0.3,浦东监测站,228,34.0,9.7
2017/10/13 19,0.4,全市平均,0,28.7,9.5
time,co,sitename,siteid,no2,pm25
2017/10/13 19,0.3,普陀监测站,201,25.0,7.9
2017/10/13 19,0.5,杨浦四漂,209,24.0,9.4
2017/10/13 19,0.5,卢湾师专附小,185,37.0,10.2
2017/10/13 19,0.7,*青浦淀山湖,203,40.0,14.5
2017/10/13 19,0.5,虹口凉城,215,32.0,8.8
2017/10/13 19,0.5,静安监测站,183,28.0,10.3
2017/10/13 19,0.5,徐汇上师大,207,29.0,10.5
