--- 更新时间---,2017/09/28-00,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.4,65.9,普陀监测站,54.0,7.0,201,21.0,23.0,99.0,49.0
－,0.6,74.8,杨浦四漂,59.0,7.0,209,16.0,22.0,104.0,49.0
－,0.6,57.1,卢湾师专附小,36.0,7.0,185,20.0,23.0,95.0,49.6
－,0.7,41.7,*青浦淀山湖,39.0,10.0,203,20.0,24.0,89.0,35.0
－,0.4,61.5,虹口凉城,46.0,8.0,215,23.0,14.0,94.0,48.6
－,0.6,62.0,静安监测站,45.0,9.0,183,26.0,26.0,93.0,50.1
－,0.8,52.0,徐汇上师大,29.0,8.0,207,13.0,20.0,92.0,44.3
－,0.5,56.0,浦东川沙,39.0,6.0,193,21.0,22.0,106.0,44.6
－,0.5,61.4,浦东张江,43.0,7.0,195,23.0,26.0,89.0,51.1
－,0.5,60.4,浦东监测站,38.0,8.0,228,18.0,18.0,102.0,49.0
－,0.5,61.2,全市平均,43.2,7.4,0,20.1,21.6,97.1,48.3
-- 实时空气质量指数 ---
o38,sy,co,pm10,zk,sitename,o3,so2,siteid,no2,dj,aqi,pm25
－,PM10,5,52,良,普陀监测站,31,3,201,11,二级,52,33
－,PM10,7,55,良,杨浦四漂,33,3,209,8,二级,55,32
－,－,7,36,优,卢湾师专附小,30,3,185,10,一级,36,33
－,－,8,39,优,*青浦淀山湖,28,4,203,10,一级,39,35
－,－,5,46,优,虹口凉城,30,3,215,12,一级,46,20
－,－,7,45,优,静安监测站,30,3,183,13,一级,45,38
－,－,9,29,优,徐汇上师大,29,3,207,7,一级,29,29
－,－,6,39,优,浦东川沙,34,3,193,11,一级,39,32
－,－,6,43,优,浦东张江,28,3,195,12,一级,43,38
－,－,6,38,优,浦东监测站,32,3,228,9,一级,38,26
－,－,6,43,优,全市平均,31,3,0,10,一级,43,32
--- 更新时间---,2017/09/28-01,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.3,62.3,普陀监测站,40.0,6.0,201,15.0,18.0,97.0,44.5
－,0.5,71.2,杨浦四漂,54.0,6.0,209,13.0,13.0,101.0,45.0
－,0.5,54.0,卢湾师专附小,37.0,7.0,185,15.0,16.0,92.0,45.7
