time,co,sitename,siteid,no2,pm25
2017/10/12 12,0.5,*青浦淀山湖,203,24.0,11.9
2017/10/12 12,0.5,虹口凉城,215,24.0,12.2
2017/10/12 12,0.6,静安监测站,183,27.0,14.3
2017/10/12 12,0.6,徐汇上师大,207,24.0,14.2
2017/10/12 12,－,浦东川沙,193,24.0,13.6
2017/10/12 12,0.4,浦东张江,195,20.0,12.6
2017/10/12 12,0.5,浦东监测站,228,30.0,22.3
2017/10/12 12,0.5,全市平均,0,24.7,13.8
time,co,sitename,siteid,no2,pm25
2017/10/12 13,0.4,普陀监测站,201,24.0,12.6
2017/10/12 13,0.7,杨浦四漂,209,22.0,9.3
2017/10/12 13,0.6,卢湾师专附小,185,26.0,13.6
2017/10/12 13,0.6,*青浦淀山湖,203,25.0,12.0
2017/10/12 13,－,虹口凉城,215,－,12.0
2017/10/12 13,0.6,静安监测站,183,29.0,13.9
2017/10/12 13,0.7,徐汇上师大,207,22.0,14.0
2017/10/12 13,0.5,浦东川沙,193,－,13.3
2017/10/12 13,0.4,浦东张江,195,19.0,12.2
2017/10/12 13,0.5,浦东监测站,228,23.0,22.5
2017/10/12 13,0.5,全市平均,0,23.6,13.7
time,co,sitename,siteid,no2,pm25
2017/10/12 14,0.4,普陀监测站,201,31.0,12.0
2017/10/12 14,0.5,杨浦四漂,209,20.0,9.1
2017/10/12 14,0.6,卢湾师专附小,185,27.0,13.7
2017/10/12 14,0.6,*青浦淀山湖,203,23.0,11.9
2017/10/12 14,－,虹口凉城,215,－,11.9
2017/10/12 14,0.7,静安监测站,183,36.0,13.8
2017/10/12 14,0.7,徐汇上师大,207,23.0,13.8
2017/10/12 14,0.5,浦东川沙,193,24.0,13.1
2017/10/12 14,0.4,浦东张江,195,20.0,11.9
2017/10/12 14,0.4,浦东监测站,228,－,21.7
2017/10/12 14,0.5,全市平均,0,25.9,13.4
time,co,sitename,siteid,no2,pm25
2017/10/12 15,0.4,普陀监测站,201,34.0,12.3
2017/10/12 15,0.5,杨浦四漂,209,25.0,9.2
2017/10/12 15,0.6,卢湾师专附小,185,32.0,13.6
2017/10/12 15,0.6,*青浦淀山湖,203,20.0,11.9
2017/10/12 15,0.5,虹口凉城,215,34.0,11.9
2017/10/12 15,0.6,静安监测站,183,37.0,13.8
2017/10/12 15,0.7,徐汇上师大,207,31.0,13.6
2017/10/12 15,0.4,浦东川沙,193,29.0,13.0
2017/10/12 15,0.4,浦东张江,195,26.0,12.1
2017/10/12 15,4.0,浦东监测站,228,34.0,22.0
2017/10/12 15,0.9,全市平均,0,31.3,13.5
time,co,sitename,siteid,no2,pm25
2017/10/12 16,0.4,普陀监测站,201,32.0,12.5
2017/10/12 16,0.5,杨浦四漂,209,24.0,9.5
2017/10/12 16,0.5,卢湾师专附小,185,31.0,13.5
2017/10/12 16,0.6,*青浦淀山湖,203,28.0,12.1
2017/10/12 16,2.3,虹口凉城,215,35.0,11.9
2017/10/12 16,0.6,静安监测站,183,34.0,13.8
2017/10/12 16,0.6,徐汇上师大,207,27.0,13.8
2017/10/12 16,0.4,浦东川沙,193,27.0,13.4
2017/10/12 16,0.4,浦东张江,195,29.0,12.3
2017/10/12 16,0.5,浦东监测站,228,31.0,22.9
2017/10/12 16,0.7,全市平均,0,30.0,13.7
time,co,sitename,siteid,no2,pm25
2017/10/12 17,0.5,普陀监测站,201,53.0,12.3
2017/10/12 17,0.5,杨浦四漂,209,30.0,9.7
2017/10/12 17,0.5,卢湾师专附小,185,40.0,13.6
2017/10/12 17,0.6,*青浦淀山湖,203,29.0,12.5
2017/10/12 17,0.6,虹口凉城,215,38.0,11.7
2017/10/12 17,0.6,静安监测站,183,44.0,14.0
2017/10/12 17,0.6,徐汇上师大,207,34.0,14.0
2017/10/12 17,0.5,浦东川沙,193,28.0,13.4
2017/10/12 17,0.4,浦东张江,195,31.0,12.4
2017/10/12 17,0.4,浦东监测站,228,33.0,23.2
2017/10/12 17,0.5,全市平均,0,36.8,13.8
time,co,sitename,siteid,no2,pm25
2017/10/12 18,0.5,普陀监测站,201,52.0,12.4
2017/10/12 18,0.5,杨浦四漂,209,32.0,10.0
2017/10/12 18,0.5,卢湾师专附小,185,39.0,13.5
2017/10/12 18,0.6,*青浦淀山湖,203,31.0,12.6
2017/10/12 18,0.6,虹口凉城,215,52.0,11.9
2017/10/12 18,0.6,静安监测站,183,48.0,14.1
2017/10/12 18,0.7,徐汇上师大,207,37.0,13.9
2017/10/12 18,0.5,浦东川沙,193,31.0,13.3
2017/10/12 18,0.4,浦东张江,195,37.0,12.5
2017/10/12 18,0.4,浦东监测站,228,39.0,23.5
2017/10/12 18,0.5,全市平均,0,40.8,13.9
time,co,sitename,siteid,no2,pm25
2017/10/12 19,0.5,普陀监测站,201,53.0,12.6
2017/10/12 19,0.6,杨浦四漂,209,40.0,10.3
2017/10/12 19,0.6,卢湾师专附小,185,41.0,13.5
2017/10/12 19,0.6,*青浦淀山湖,203,32.0,13.0
2017/10/12 19,0.6,虹口凉城,215,60.0,11.9
2017/10/12 19,0.7,静安监测站,183,53.0,14.2
2017/10/12 19,0.7,徐汇上师大,207,43.0,13.9
2017/10/12 19,0.5,浦东川沙,193,35.0,13.3
2017/10/12 19,0.4,浦东张江,195,52.0,12.6
2017/10/12 19,0.4,浦东监测站,228,47.0,23.8
2017/10/12 19,0.6,全市平均,0,47.1,14.0
time,co,sitename,siteid,no2,pm25
2017/10/12 20,－,普陀监测站,201,－,12.7
2017/10/12 20,0.6,杨浦四漂,209,30.0,10.3
2017/10/12 20,0.6,卢湾师专附小,185,47.0,13.4
2017/10/12 20,0.6,*青浦淀山湖,203,42.0,13.5
2017/10/12 20,－,虹口凉城,215,－,－
2017/10/12 20,0.7,静安监测站,183,56.0,14.4
2017/10/12 20,0.7,徐汇上师大,207,47.0,14.0
2017/10/12 20,－,浦东川沙,193,－,13.4
2017/10/12 20,0.4,浦东张江,195,52.0,12.7
2017/10/12 20,0.4,浦东监测站,228,34.0,23.0
2017/10/12 20,0.6,全市平均,0,44.3,14.2
time,co,sitename,siteid,no2,pm25
2017/10/12 21,－,普陀监测站,201,－,12.6
2017/10/12 21,0.5,杨浦四漂,209,35.0,10.3
2017/10/12 21,0.6,卢湾师专附小,185,35.0,13.4
2017/10/12 21,0.6,*青浦淀山湖,203,37.0,14.2
2017/10/12 21,－,虹口凉城,215,－,－
2017/10/12 21,0.6,静安监测站,183,39.0,14.3
2017/10/12 21,0.7,徐汇上师大,207,41.0,14.0
2017/10/12 21,－,浦东川沙,193,－,13.4
2017/10/12 21,0.4,浦东张江,195,26.0,12.7
2017/10/12 21,0.4,浦东监测站,228,33.0,23.2
2017/10/12 21,0.5,全市平均,0,34.8,14.2
time,co,sitename,siteid,no2,pm25
2017/10/12 22,0.4,普陀监测站,201,39.0,13.1
2017/10/12 22,0.5,杨浦四漂,209,28.0,10.3
2017/10/12 22,0.5,卢湾师专附小,185,36.0,13.2
2017/10/12 22,0.6,*青浦淀山湖,203,28.0,14.4
2017/10/12 22,0.5,虹口凉城,215,28.0,12.6
2017/10/12 22,0.6,静安监测站,183,42.0,14.1
2017/10/12 22,0.7,徐汇上师大,207,33.0,13.8
2017/10/12 22,0.5,浦东川沙,193,29.0,13.4
2017/10/12 22,0.4,浦东张江,195,34.0,12.5
2017/10/12 22,0.4,浦东监测站,228,38.0,22.9
2017/10/12 22,0.5,全市平均,0,34.1,13.9
time,co,sitename,siteid,no2,pm25
2017/10/12 23,－,普陀监测站,201,－,13.2
2017/10/12 23,0.4,杨浦四漂,209,23.0,10.2
2017/10/12 23,0.5,卢湾师专附小,185,28.0,13.0
2017/10/12 23,0.6,*青浦淀山湖,203,29.0,14.7
2017/10/12 23,－,虹口凉城,215,－,－
2017/10/12 23,0.5,静安监测站,183,34.0,14.1
2017/10/12 23,0.6,徐汇上师大,207,29.0,13.9
2017/10/12 23,－,浦东川沙,193,－,13.3
2017/10/12 23,0.4,浦东张江,195,22.0,12.6
2017/10/12 23,0.4,浦东监测站,228,30.0,22.4
2017/10/12 23,0.5,全市平均,0,27.7,14.0
