time,co,sitename,siteid,no2,pm25
2017/10/12 00,0.4,普陀监测站,201,22.0,13.3
2017/10/12 00,0.6,杨浦四漂,209,27.0,11.1
2017/10/12 00,0.6,卢湾师专附小,185,22.0,13.8
2017/10/12 00,0.7,*青浦淀山湖,203,23.0,22.4
2017/10/12 00,0.6,虹口凉城,215,23.0,14.4
2017/10/12 00,0.6,静安监测站,183,26.0,15.8
2017/10/12 00,0.7,徐汇上师大,207,18.0,16.0
2017/10/12 00,0.6,浦东川沙,193,18.0,13.7
2017/10/12 00,0.5,浦东张江,195,23.0,13.7
2017/10/12 00,0.6,浦东监测站,228,27.0,19.6
2017/10/12 00,0.6,全市平均,0,22.9,14.6
time,co,sitename,siteid,no2,pm25
2017/10/12 01,0.4,普陀监测站,201,20.0,13.3
2017/10/12 01,0.6,杨浦四漂,209,28.0,10.8
2017/10/12 01,0.6,卢湾师专附小,185,18.0,13.5
2017/10/12 01,0.7,*青浦淀山湖,203,17.0,20.7
2017/10/12 01,0.6,虹口凉城,215,20.0,14.1
2017/10/12 01,0.6,静安监测站,183,24.0,15.5
2017/10/12 01,0.7,徐汇上师大,207,16.0,15.5
2017/10/12 01,0.6,浦东川沙,193,14.0,13.4
2017/10/12 01,0.5,浦东张江,195,16.0,13.4
2017/10/12 01,0.5,浦东监测站,228,27.0,19.3
2017/10/12 01,0.6,全市平均,0,20.3,14.3
time,co,sitename,siteid,no2,pm25
2017/10/12 02,0.4,普陀监测站,201,20.0,13.2
2017/10/12 02,0.6,杨浦四漂,209,26.0,10.6
2017/10/12 02,0.6,卢湾师专附小,185,18.0,13.4
2017/10/12 02,0.7,*青浦淀山湖,203,13.0,20.5
2017/10/12 02,0.5,虹口凉城,215,20.0,14.0
2017/10/12 02,0.6,静安监测站,183,23.0,15.5
2017/10/12 02,0.7,徐汇上师大,207,15.0,15.3
2017/10/12 02,0.6,浦东川沙,193,15.0,13.3
2017/10/12 02,0.5,浦东张江,195,16.0,13.1
2017/10/12 02,0.5,浦东监测站,228,27.0,19.3
2017/10/12 02,0.6,全市平均,0,20.0,14.1
time,co,sitename,siteid,no2,pm25
2017/10/12 03,0.4,普陀监测站,201,16.0,13.4
2017/10/12 03,0.6,杨浦四漂,209,21.0,10.5
2017/10/12 03,0.6,卢湾师专附小,185,18.0,13.7
2017/10/12 03,0.6,*青浦淀山湖,203,13.0,16.5
2017/10/12 03,0.5,虹口凉城,215,18.0,14.2
2017/10/12 03,0.6,静安监测站,183,21.0,15.6
2017/10/12 03,0.7,徐汇上师大,207,16.0,15.1
2017/10/12 03,0.6,浦东川沙,193,15.0,13.3
2017/10/12 03,0.5,浦东张江,195,17.0,12.8
2017/10/12 03,0.5,浦东监测站,228,24.0,19.1
2017/10/12 03,0.5,全市平均,0,18.4,14.1
time,co,sitename,siteid,no2,pm25
2017/10/12 04,0.4,普陀监测站,201,16.0,13.3
2017/10/12 04,0.5,杨浦四漂,209,17.0,10.4
2017/10/12 04,0.5,卢湾师专附小,185,22.0,13.8
2017/10/12 04,0.6,*青浦淀山湖,203,16.0,14.4
2017/10/12 04,0.4,虹口凉城,215,15.0,14.1
2017/10/12 04,0.5,静安监测站,183,18.0,15.6
2017/10/12 04,0.6,徐汇上师大,207,16.0,14.9
2017/10/12 04,0.5,浦东川沙,193,12.0,13.0
2017/10/12 04,0.4,浦东张江,195,20.0,12.9
2017/10/12 04,0.5,浦东监测站,228,14.0,19.2
2017/10/12 04,0.5,全市平均,0,16.7,14.1
time,co,sitename,siteid,no2,pm25
2017/10/12 05,0.3,普陀监测站,201,12.0,13.0
2017/10/12 05,0.5,杨浦四漂,209,15.0,10.5
2017/10/12 05,0.4,卢湾师专附小,185,16.0,13.7
2017/10/12 05,0.6,*青浦淀山湖,203,13.0,13.3
2017/10/12 05,0.4,虹口凉城,215,15.0,13.9
2017/10/12 05,0.5,静安监测站,183,16.0,15.5
2017/10/12 05,0.6,徐汇上师大,207,15.0,14.8
2017/10/12 05,0.5,浦东川沙,193,12.0,13.2
2017/10/12 05,0.4,浦东张江,195,20.0,13.0
2017/10/12 05,0.4,浦东监测站,228,13.0,19.5
2017/10/12 05,0.4,全市平均,0,14.9,14.1
time,co,sitename,siteid,no2,pm25
2017/10/12 06,0.3,普陀监测站,201,14.0,12.8
2017/10/12 06,0.5,杨浦四漂,209,15.0,10.3
2017/10/12 06,0.4,卢湾师专附小,185,14.0,13.6
2017/10/12 06,0.6,*青浦淀山湖,203,12.0,12.8
2017/10/12 06,0.4,虹口凉城,215,18.0,13.8
2017/10/12 06,0.5,静安监测站,183,18.0,15.0
2017/10/12 06,0.5,徐汇上师大,207,15.0,14.4
2017/10/12 06,0.5,浦东川沙,193,17.0,13.3
2017/10/12 06,0.4,浦东张江,195,20.0,12.8
2017/10/12 06,0.4,浦东监测站,228,11.0,19.5
2017/10/12 06,0.4,全市平均,0,15.8,13.9
time,co,sitename,siteid,no2,pm25
2017/10/12 07,0.3,普陀监测站,201,21.0,12.5
2017/10/12 07,0.6,杨浦四漂,209,17.0,10.0
2017/10/12 07,0.5,卢湾师专附小,185,20.0,13.3
2017/10/12 07,0.6,*青浦淀山湖,203,13.0,12.6
2017/10/12 07,0.4,虹口凉城,215,21.0,13.3
2017/10/12 07,0.5,静安监测站,183,25.0,14.6
2017/10/12 07,0.6,徐汇上师大,207,22.0,14.1
2017/10/12 07,0.5,浦东川沙,193,16.0,13.4
2017/10/12 07,0.4,浦东张江,195,21.0,12.7
2017/10/12 07,0.4,浦东监测站,228,17.0,19.5
2017/10/12 07,0.5,全市平均,0,20.0,13.7
time,co,sitename,siteid,no2,pm25
2017/10/12 08,0.3,普陀监测站,201,28.0,12.7
2017/10/12 08,0.6,杨浦四漂,209,22.0,9.9
2017/10/12 08,0.5,卢湾师专附小,185,26.0,13.0
2017/10/12 08,0.5,*青浦淀山湖,203,17.0,12.3
2017/10/12 08,0.5,虹口凉城,215,29.0,13.0
2017/10/12 08,0.5,静安监测站,183,33.0,14.3
2017/10/12 08,0.6,徐汇上师大,207,34.0,13.9
2017/10/12 08,0.5,浦东川沙,193,23.0,13.4
2017/10/12 08,0.4,浦东张江,195,31.0,12.7
2017/10/12 08,0.4,浦东监测站,228,22.0,20.4
2017/10/12 08,0.5,全市平均,0,27.6,13.7
time,co,sitename,siteid,no2,pm25
2017/10/12 09,0.3,普陀监测站,201,25.0,12.8
2017/10/12 09,0.5,杨浦四漂,209,20.0,9.9
2017/10/12 09,0.5,卢湾师专附小,185,26.0,13.2
2017/10/12 09,0.5,*青浦淀山湖,203,21.0,12.0
2017/10/12 09,0.4,虹口凉城,215,26.0,13.1
2017/10/12 09,0.5,静安监测站,183,32.0,14.4
2017/10/12 09,0.6,徐汇上师大,207,32.0,13.9
2017/10/12 09,0.5,浦东川沙,193,25.0,13.6
2017/10/12 09,0.4,浦东张江,195,31.0,12.9
2017/10/12 09,0.4,浦东监测站,228,23.0,21.0
2017/10/12 09,0.5,全市平均,0,26.7,13.8
time,co,sitename,siteid,no2,pm25
2017/10/12 10,0.4,普陀监测站,201,31.0,12.6
2017/10/12 10,0.7,杨浦四漂,209,21.0,9.8
2017/10/12 10,0.5,卢湾师专附小,185,27.0,13.4
2017/10/12 10,0.5,*青浦淀山湖,203,21.0,11.9
2017/10/12 10,0.5,虹口凉城,215,36.0,13.0
2017/10/12 10,0.5,静安监测站,183,32.0,14.6
2017/10/12 10,0.6,徐汇上师大,207,33.0,14.1
2017/10/12 10,0.4,浦东川沙,193,20.0,13.7
2017/10/12 10,0.4,浦东张江,195,23.0,13.0
2017/10/12 10,0.4,浦东监测站,228,29.0,21.6
2017/10/12 10,0.5,全市平均,0,28.0,13.9
time,co,sitename,siteid,no2,pm25
2017/10/12 11,0.4,普陀监测站,201,33.0,12.7
2017/10/12 11,0.6,杨浦四漂,209,21.0,9.5
2017/10/12 11,0.5,卢湾师专附小,185,31.0,13.4
2017/10/12 11,0.5,*青浦淀山湖,203,22.0,11.9
2017/10/12 11,0.4,虹口凉城,215,31.0,12.9
2017/10/12 11,0.5,静安监测站,183,33.0,14.6
2017/10/12 11,0.6,徐汇上师大,207,31.0,14.2
2017/10/12 11,0.4,浦东川沙,193,22.0,－
2017/10/12 11,0.4,浦东张江,195,23.0,12.8
2017/10/12 11,0.4,浦东监测站,228,27.0,22.0
2017/10/12 11,0.5,全市平均,0,28.0,13.9
time,co,sitename,siteid,no2,pm25
2017/10/12 12,0.4,普陀监测站,201,22.0,12.8
2017/10/12 12,0.7,杨浦四漂,209,23.0,9.4
2017/10/12 12,0.6,卢湾师专附小,185,28.0,13.5
