--- 更新时间---,2017/08/31-23,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.4,37.5,普陀监测站,43.0,6.0,201,21.0,18.0,143.0,13.8
－,0.7,43.7,杨浦四漂,46.0,9.0,209,30.0,18.0,108.0,12.5
－,0.7,35.6,卢湾师专附小,37.0,8.0,185,26.0,18.0,121.0,17.1
－,0.9,36.0,*青浦淀山湖,44.0,11.0,203,37.0,21.0,74.0,15.7
－,0.6,27.0,虹口凉城,45.0,9.0,215,27.0,16.0,123.0,13.3
－,0.7,32.6,静安监测站,38.0,8.0,183,18.0,21.0,126.0,15.7
－,0.7,31.5,徐汇上师大,41.0,8.0,207,9.0,24.0,130.0,15.4
－,0.6,35.6,浦东川沙,38.0,8.0,193,19.0,19.0,137.0,14.6
－,0.5,37.6,浦东张江,47.0,12.0,195,23.0,28.0,119.0,18.8
－,0.6,33.3,浦东监测站,42.0,10.0,228,22.0,15.0,128.0,11.0
－,0.6,34.9,全市平均,41.9,8.7,0,21.7,19.7,126.1,14.6
-- 实时空气质量指数 ---
o38,sy,co,pm10,zk,sitename,o3,so2,siteid,no2,dj,aqi,pm25
－,－,5,43,优,普陀监测站,45,3,201,11,一级,45,26
－,－,8,46,优,杨浦四漂,34,3,209,15,一级,46,26
－,－,8,37,优,卢湾师专附小,38,3,185,13,一级,38,26
－,－,10,44,优,*青浦淀山湖,24,4,203,19,一级,44,30
－,－,7,45,优,虹口凉城,39,3,215,14,一级,45,23
－,－,7,38,优,静安监测站,40,3,183,9,一级,40,30
－,－,8,41,优,徐汇上师大,41,3,207,5,一级,41,35
－,－,7,38,优,浦东川沙,43,3,193,10,一级,43,28
－,－,6,47,优,浦东张江,38,5,195,12,一级,47,40
－,－,7,42,优,浦东监测站,40,4,228,11,一级,42,22
－,－,7,42,优,全市平均,40,3,0,11,一级,42,29
--- 更新时间---,2017/09/01-00,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.4,38.1,普陀监测站,49.0,6.0,201,21.0,18.0,141.0,14.5
－,0.7,44.1,杨浦四漂,50.0,7.0,209,25.0,25.0,113.0,13.4
－,0.8,35.8,卢湾师专附小,37.0,8.0,185,25.0,23.0,118.0,17.8
－,0.8,37.0,*青浦淀山湖,54.0,10.0,203,30.0,25.0,87.0,16.3
－,0.6,28.7,虹口凉城,48.0,9.0,215,29.0,24.0,122.0,14.2
－,0.7,33.0,静安监测站,43.0,9.0,183,19.0,27.0,124.0,16.5
－,0.7,31.7,徐汇上师大,36.0,8.0,207,7.0,28.0,136.0,16.0
－,0.6,36.1,浦东川沙,38.0,9.0,193,20.0,20.0,131.0,15.2
－,0.5,38.1,浦东张江,47.0,12.0,195,19.0,31.0,120.0,19.6
－,0.6,33.6,浦东监测站,41.0,10.0,228,17.0,17.0,134.0,11.7
－,0.6,35.4,全市平均,43.2,8.7,0,20.2,23.7,126.6,15.4
-- 实时空气质量指数 ---
o38,sy,co,pm10,zk,sitename,o3,so2,siteid,no2,dj,aqi,pm25
－,－,5,49,优,普陀监测站,45,3,201,11,一级,49,26
－,－,8,50,优,杨浦四漂,36,3,209,13,一级,50,36
－,－,9,37,优,卢湾师专附小,37,3,185,13,一级,37,33
－,PM10,9,52,良,*青浦淀山湖,28,4,203,15,二级,52,36
－,－,7,48,优,虹口凉城,39,3,215,15,一级,48,35
－,－,8,43,优,静安监测站,39,3,183,10,一级,43,39
－,－,8,36,优,徐汇上师大,43,3,207,4,一级,43,40
－,－,7,38,优,浦东川沙,41,3,193,10,一级,41,29
－,－,6,47,优,浦东张江,38,5,195,10,一级,47,45
－,－,7,41,优,浦东监测站,42,4,228,9,一级,42,25
－,－,7,43,优,全市平均,40,3,0,10,一级,43,35
--- 更新时间---,2017/09/01-01,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.4,39.0,普陀监测站,50.0,5.0,201,19.0,27.0,139.0,15.2
－,0.7,45.0,杨浦四漂,52.0,8.0,209,25.0,28.0,113.0,14.7
－,0.8,36.5,卢湾师专附小,42.0,9.0,185,26.0,27.0,112.0,18.3
－,0.8,37.8,*青浦淀山湖,52.0,11.0,203,24.0,29.0,94.0,17.0
－,0.6,30.5,虹口凉城,46.0,8.0,215,25.0,27.0,122.0,15.3
－,0.7,34.2,静安监测站,45.0,9.0,183,15.0,27.0,127.0,17.4
－,0.7,32.0,徐汇上师大,40.0,9.0,207,7.0,27.0,132.0,16.8
－,0.5,36.8,浦东川沙,40.0,9.0,193,18.0,21.0,131.0,15.8
－,0.5,39.1,浦东张江,49.0,11.0,195,19.0,29.0,118.0,20.4
－,0.6,34.6,浦东监测站,43.0,9.0,228,15.0,21.0,133.0,12.1
－,0.6,36.4,全市平均,45.2,8.6,0,18.8,26.0,125.2,16.2
-- 实时空气质量指数 ---
o38,sy,co,pm10,zk,sitename,o3,so2,siteid,no2,dj,aqi,pm25
－,－,5,50,优,普陀监测站,44,2,201,10,一级,50,39
－,PM10,8,51,良,杨浦四漂,36,3,209,13,二级,51,40
－,－,9,42,优,卢湾师专附小,35,3,185,13,一级,42,39
－,PM10,9,51,良,*青浦淀山湖,30,4,203,12,二级,51,42
－,－,7,46,优,虹口凉城,39,3,215,13,一级,46,39
－,－,8,45,优,静安监测站,40,3,183,8,一级,45,39
－,－,8,40,优,徐汇上师大,42,3,207,4,一级,42,39
－,－,6,40,优,浦东川沙,41,3,193,9,一级,41,30
－,－,6,49,优,浦东张江,37,4,195,10,一级,49,42
－,－,7,43,优,浦东监测站,42,3,228,8,一级,43,30
－,－,7,45,优,全市平均,40,3,0,10,一级,45,38
--- 更新时间---,2017/09/01-02,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.4,40.0,普陀监测站,50.0,5.0,201,18.0,28.0,139.0,16.1
－,0.7,46.0,杨浦四漂,52.0,8.0,209,31.0,26.0,105.0,15.9
－,0.8,37.5,卢湾师专附小,43.0,8.0,185,21.0,29.0,117.0,19.1
－,0.9,38.1,*青浦淀山湖,50.0,12.0,203,22.0,32.0,99.0,18.0
－,0.6,32.2,虹口凉城,46.0,8.0,215,22.0,30.0,126.0,19.4
－,0.7,35.4,静安监测站,48.0,8.0,183,13.0,26.0,128.0,18.0
－,0.7,33.2,徐汇上师大,47.0,8.0,207,2.0,26.0,137.0,17.6
－,0.5,37.5,浦东川沙,42.0,8.0,193,18.0,22.0,125.0,16.2
－,0.5,39.9,浦东张江,49.0,10.0,195,10.0,25.0,128.0,20.8
－,0.6,35.5,浦东监测站,45.0,12.0,228,24.0,19.0,121.0,12.5
－,0.6,37.4,全市平均,46.9,8.3,0,17.7,25.7,125.1,17.2
-- 实时空气质量指数 ---
o38,sy,co,pm10,zk,sitename,o3,so2,siteid,no2,dj,aqi,pm25
－,－,5,50,优,普陀监测站,44,2,201,9,一级,50,40
－,PM10,8,51,良,杨浦四漂,33,3,209,16,二级,51,38
－,－,9,43,优,卢湾师专附小,37,3,185,11,一级,43,42
－,－,10,50,优,*青浦淀山湖,31,5,203,11,一级,50,46
－,－,7,46,优,虹口凉城,40,3,215,11,一级,46,43
－,－,8,48,优,静安监测站,40,3,183,7,一级,48,38
－,－,8,47,优,徐汇上师大,43,3,207,1,一级,47,38
－,－,6,42,优,浦东川沙,40,3,193,9,一级,42,32
－,－,6,49,优,浦东张江,40,4,195,5,一级,49,36
－,－,7,45,优,浦东监测站,38,5,228,12,一级,45,28
－,－,7,47,优,全市平均,40,3,0,9,一级,47,38
--- 更新时间---,2017/09/01-03,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.4,40.8,普陀监测站,48.0,5.0,201,17.0,28.0,136.0,16.8
－,0.7,46.9,杨浦四漂,52.0,10.0,209,29.0,23.0,102.0,16.9
－,0.8,38.4,卢湾师专附小,43.0,9.0,185,20.0,25.0,115.0,19.7
－,0.9,38.8,*青浦淀山湖,49.0,11.0,203,18.0,35.0,107.0,19.0
－,0.6,33.9,虹口凉城,47.0,8.0,215,23.0,24.0,117.0,19.6
－,0.7,36.1,静安监测站,42.0,8.0,183,14.0,27.0,122.0,18.8
－,0.7,34.2,徐汇上师大,46.0,8.0,207,1.0,26.0,138.0,18.3
－,0.6,38.1,浦东川沙,40.0,8.0,193,17.0,23.0,126.0,16.8
－,0.6,40.6,浦东张江,48.0,12.0,195,15.0,28.0,117.0,21.4
－,0.6,36.3,浦东监测站,45.0,10.0,228,17.0,18.0,125.0,13.3
－,0.6,38.3,全市平均,45.7,8.7,0,17.0,24.7,122.0,17.9
-- 实时空气质量指数 ---
o38,sy,co,pm10,zk,sitename,o3,so2,siteid,no2,dj,aqi,pm25
－,－,5,48,优,普陀监测站,43,2,201,9,一级,48,40
－,PM10,8,51,良,杨浦四漂,32,4,209,15,二级,51,33
－,－,9,43,优,卢湾师专附小,36,3,185,10,一级,43,36
－,－,10,49,优,*青浦淀山湖,34,4,203,9,一级,50,50
－,－,7,47,优,虹口凉城,37,3,215,12,一级,47,35
－,－,8,42,优,静安监测站,39,3,183,7,一级,42,39
－,－,8,46,优,徐汇上师大,44,3,207,1,一级,46,38
－,－,7,40,优,浦东川沙,40,3,193,9,一级,40,33
－,－,7,48,优,浦东张江,37,5,195,8,一级,48,40
－,－,7,45,优,浦东监测站,40,4,228,9,一级,45,26
－,－,7,46,优,全市平均,39,3,0,9,一级,46,36
--- 更新时间---,2017/09/01-04,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.5,41.3,普陀监测站,47.0,5.0,201,16.0,15.0,132.0,17.3
－,－,47.4,杨浦四漂,－,－,209,－,－,－,－
－,0.8,39.1,卢湾师专附小,42.0,9.0,185,19.0,25.0,114.0,20.3
－,0.9,39.7,*青浦淀山湖,47.0,12.0,203,16.0,31.0,108.0,19.6
－,0.7,35.7,虹口凉城,49.0,8.0,215,22.0,30.0,115.0,20.1
－,0.7,36.9,静安监测站,44.0,8.0,183,12.0,25.0,118.0,19.5
－,0.8,35.0,徐汇上师大,44.0,8.0,207,2.0,25.0,130.0,18.9
－,0.6,38.6,浦东川沙,42.0,7.0,193,14.0,23.0,137.0,17.3
－,0.6,41.2,浦东张江,50.0,12.0,195,17.0,30.0,113.0,22.1
－,0.7,37.0,浦东监测站,47.0,10.0,228,11.0,19.0,131.0,14.1
－,0.7,39.1,全市平均,45.6,8.4,0,14.1,24.0,123.8,18.7
-- 实时空气质量指数 ---
o38,sy,co,pm10,zk,sitename,o3,so2,siteid,no2,dj,aqi,pm25
－,－,6,47,优,普陀监测站,42,2,201,8,一级,47,22
－,－,9,42,优,卢湾师专附小,36,3,185,10,一级,42,36
－,－,10,47,优,*青浦淀山湖,34,5,203,8,一级,47,45
－,－,8,49,优,虹口凉城,36,3,215,11,一级,49,43
－,－,8,44,优,静安监测站,37,3,183,6,一级,44,36
－,－,9,44,优,徐汇上师大,41,3,207,1,一级,44,36
－,－,7,42,优,浦东川沙,43,3,193,7,一级,43,33
－,－,7,50,优,浦东张江,36,5,195,9,一级,50,43
－,－,8,47,优,浦东监测站,41,4,228,6,一级,47,28
－,－,8,46,优,全市平均,39,3,0,7,一级,46,35
--- 更新时间---,2017/09/01-05,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.5,42.2,普陀监测站,51.0,6.0,201,17.0,24.0,129.0,18.0
－,－,48.1,杨浦四漂,－,－,209,－,－,－,－
－,0.9,39.8,卢湾师专附小,43.0,7.0,185,14.0,25.0,123.0,20.9
－,0.9,40.5,*青浦淀山湖,46.0,14.0,203,16.0,28.0,107.0,20.2
－,0.7,37.5,虹口凉城,47.0,8.0,215,18.0,29.0,122.0,20.5
－,0.8,38.0,静安监测站,44.0,9.0,183,17.0,26.0,112.0,20.3
－,0.8,35.5,徐汇上师大,45.0,8.0,207,1.0,24.0,133.0,19.4
－,0.5,39.0,浦东川沙,28.0,7.0,193,16.0,23.0,127.0,17.9
－,0.6,41.6,浦东张江,38.4,10.0,195,7.0,35.0,127.0,22.9
－,0.7,37.8,浦东监测站,40.0,10.0,228,11.0,20.0,129.0,14.7
－,0.7,39.9,全市平均,42.1,8.1,0,12.6,25.8,125.2,19.3
-- 实时空气质量指数 ---
o38,sy,co,pm10,zk,sitename,o3,so2,siteid,no2,dj,aqi,pm25
－,PM10,6,51,良,普陀监测站,41,3,201,9,二级,51,35
－,－,10,43,优,卢湾师专附小,39,3,185,7,一级,43,36
－,－,10,46,优,*青浦淀山湖,34,5,203,8,一级,46,40
－,－,8,47,优,虹口凉城,39,3,215,9,一级,47,42
－,－,9,44,优,静安监测站,35,3,183,9,一级,44,38
－,－,9,45,优,徐汇上师大,42,3,207,1,一级,45,35
－,－,6,28,优,浦东川沙,40,3,193,8,一级,40,33
－,－,7,38,优,浦东张江,40,4,195,4,一级,50,50
－,－,8,40,优,浦东监测站,41,4,228,6,一级,41,29
－,－,8,42,优,全市平均,40,3,0,7,一级,42,38
--- 更新时间---,2017/09/01-06,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.4,42.5,普陀监测站,31.0,6.0,201,21.0,26.0,122.0,18.7
－,－,49.6,杨浦四漂,－,－,209,－,－,－,－
