time,co,sitename,siteid,no2,pm25
2017/10/16 00,0.3,普陀监测站,201,12.0,5.3
2017/10/16 00,0.6,杨浦四漂,209,8.0,7.3
2017/10/16 00,0.5,卢湾师专附小,185,15.0,7.4
2017/10/16 00,0.4,*青浦淀山湖,203,13.0,7.6
2017/10/16 00,0.6,虹口凉城,215,14.0,8.6
2017/10/16 00,0.6,静安监测站,183,15.0,8.1
2017/10/16 00,0.6,徐汇上师大,207,17.0,8.2
2017/10/16 00,0.5,浦东川沙,193,9.0,6.8
2017/10/16 00,0.4,浦东张江,195,14.0,7.8
2017/10/16 00,0.4,浦东监测站,228,9.0,5.4
2017/10/16 00,0.5,全市平均,0,12.6,7.2
time,co,sitename,siteid,no2,pm25
2017/10/16 01,0.3,普陀监测站,201,11.0,5.3
2017/10/16 01,0.6,杨浦四漂,209,8.0,7.2
2017/10/16 01,0.5,卢湾师专附小,185,11.0,7.1
2017/10/16 01,0.4,*青浦淀山湖,203,14.0,7.4
2017/10/16 01,0.6,虹口凉城,215,10.0,－
2017/10/16 01,0.5,静安监测站,183,13.0,8.0
2017/10/16 01,0.6,徐汇上师大,207,11.0,8.1
2017/10/16 01,0.5,浦东川沙,193,8.0,6.5
2017/10/16 01,0.4,浦东张江,195,15.0,7.6
2017/10/16 01,0.4,浦东监测站,228,8.0,5.2
2017/10/16 01,0.5,全市平均,0,10.6,6.8
time,co,sitename,siteid,no2,pm25
2017/10/16 02,0.3,普陀监测站,201,10.0,5.3
2017/10/16 02,0.6,杨浦四漂,209,7.0,7.1
2017/10/16 02,0.5,卢湾师专附小,185,10.0,7.0
2017/10/16 02,0.4,*青浦淀山湖,203,14.0,7.1
2017/10/16 02,0.6,虹口凉城,215,9.0,8.1
2017/10/16 02,0.5,静安监测站,183,12.0,7.9
2017/10/16 02,0.6,徐汇上师大,207,8.0,8.1
2017/10/16 02,0.5,浦东川沙,193,8.0,6.6
2017/10/16 02,0.4,浦东张江,195,14.0,7.7
2017/10/16 02,0.4,浦东监测站,228,7.0,5.1
2017/10/16 02,0.5,全市平均,0,9.4,6.9
time,co,sitename,siteid,no2,pm25
2017/10/16 03,0.3,普陀监测站,201,9.0,5.4
2017/10/16 03,0.6,杨浦四漂,209,7.0,7.0
2017/10/16 03,0.5,卢湾师专附小,185,9.0,7.0
2017/10/16 03,0.4,*青浦淀山湖,203,13.0,6.8
2017/10/16 03,0.6,虹口凉城,215,10.0,8.5
2017/10/16 03,0.5,静安监测站,183,11.0,7.9
2017/10/16 03,0.6,徐汇上师大,207,7.0,8.1
2017/10/16 03,0.5,浦东川沙,193,8.0,6.7
2017/10/16 03,0.4,浦东张江,195,14.0,7.7
2017/10/16 03,0.4,浦东监测站,228,8.0,5.0
2017/10/16 03,0.5,全市平均,0,9.2,7.0
time,co,sitename,siteid,no2,pm25
2017/10/16 04,0.3,普陀监测站,201,9.0,5.3
2017/10/16 04,0.6,杨浦四漂,209,6.0,7.1
2017/10/16 04,0.5,卢湾师专附小,185,9.0,6.9
2017/10/16 04,0.4,*青浦淀山湖,203,13.0,6.4
2017/10/16 04,0.6,虹口凉城,215,11.0,8.3
2017/10/16 04,0.5,静安监测站,183,10.0,7.8
2017/10/16 04,0.6,徐汇上师大,207,7.0,8.1
2017/10/16 04,0.5,浦东川沙,193,8.0,6.8
2017/10/16 04,0.4,浦东张江,195,12.0,7.7
2017/10/16 04,0.4,浦东监测站,228,7.0,4.9
2017/10/16 04,0.5,全市平均,0,8.8,6.9
time,co,sitename,siteid,no2,pm25
2017/10/16 05,0.3,普陀监测站,201,10.0,5.4
2017/10/16 05,0.5,杨浦四漂,209,8.0,7.1
2017/10/16 05,0.5,卢湾师专附小,185,11.0,6.8
2017/10/16 05,0.4,*青浦淀山湖,203,12.0,6.3
2017/10/16 05,0.6,虹口凉城,215,13.0,7.6
