time,co,sitename,siteid,no2,pm25
2017/10/11 13,0.6,普陀监测站,201,29.0,16.1
2017/10/11 13,0.8,杨浦四漂,209,33.0,16.1
2017/10/11 13,0.9,卢湾师专附小,185,31.0,－
2017/10/11 13,0.8,*青浦淀山湖,203,20.0,30.7
2017/10/11 13,0.8,虹口凉城,215,37.0,16.1
2017/10/11 13,0.9,静安监测站,183,37.0,18.9
2017/10/11 13,0.8,徐汇上师大,207,－,－
2017/10/11 13,0.8,浦东川沙,193,30.0,16.5
2017/10/11 13,0.7,浦东张江,195,29.0,18.4
2017/10/11 13,0.7,浦东监测站,228,31.0,21.5
2017/10/11 13,0.8,全市平均,0,32.1,17.8
time,co,sitename,siteid,no2,pm25
2017/10/11 13,0.6,普陀监测站,201,29.0,16.1
2017/10/11 13,0.8,杨浦四漂,209,33.0,16.1
2017/10/11 13,0.9,卢湾师专附小,185,31.0,－
2017/10/11 13,0.8,*青浦淀山湖,203,20.0,30.7
2017/10/11 13,0.8,虹口凉城,215,37.0,16.1
2017/10/11 13,0.9,静安监测站,183,37.0,18.9
2017/10/11 13,0.8,徐汇上师大,207,－,－
2017/10/11 13,0.8,浦东川沙,193,30.0,16.5
2017/10/11 13,0.7,浦东张江,195,29.0,18.4
2017/10/11 13,0.7,浦东监测站,228,31.0,21.5
2017/10/11 13,0.8,全市平均,0,32.1,17.8
time,co,sitename,siteid,no2,pm25
2017/10/11 14,0.6,普陀监测站,201,36.0,16.5
2017/10/11 14,0.8,杨浦四漂,209,36.0,15.7
2017/10/11 14,0.8,卢湾师专附小,185,34.0,16.5
2017/10/11 14,0.7,*青浦淀山湖,203,18.0,30.4
2017/10/11 14,0.7,虹口凉城,215,43.0,16.0
2017/10/11 14,0.8,静安监测站,183,44.0,18.9
2017/10/11 14,0.9,徐汇上师大,207,32.0,20.1
2017/10/11 14,0.7,浦东川沙,193,32.0,16.5
2017/10/11 14,0.6,浦东张江,195,28.0,18.3
2017/10/11 14,0.7,浦东监测站,228,40.0,22.0
2017/10/11 14,0.7,全市平均,0,36.1,17.8
time,co,sitename,siteid,no2,pm25
2017/10/11 15,0.6,普陀监测站,201,29.0,16.5
2017/10/11 15,0.7,杨浦四漂,209,35.0,15.2
2017/10/11 15,0.7,卢湾师专附小,185,31.0,16.5
2017/10/11 15,0.7,*青浦淀山湖,203,20.0,29.8
2017/10/11 15,0.7,虹口凉城,215,29.0,15.9
2017/10/11 15,0.8,静安监测站,183,38.0,18.8
2017/10/11 15,0.8,徐汇上师大,207,27.0,20.3
2017/10/11 15,0.7,浦东川沙,193,32.0,16.4
2017/10/11 15,0.6,浦东张江,195,32.0,18.0
2017/10/11 15,0.6,浦东监测站,228,38.0,22.1
2017/10/11 15,0.7,全市平均,0,32.3,17.7
time,co,sitename,siteid,no2,pm25
2017/10/11 16,0.5,普陀监测站,201,30.0,16.4
2017/10/11 16,0.7,杨浦四漂,209,33.0,14.5
